Date,Open,High,Low,Close,Volume
29-Jan-16,234.89,234.99,234.87,234.95,5795650
28-Jan-16,234.82,234.90,234.82,234.85,1635602
27-Jan-16,234.86,234.87,234.81,234.81,2227856
26-Jan-16,234.82,234.87,234.76,234.84,1783262
25-Jan-16,231.58,231.70,231.10,231.21,1271931
22-Jan-16,231.90,232.10,231.07,231.48,1119619
21-Jan-16,231.33,232.37,231.00,231.60,746427
20-Jan-16,231.89,232.18,230.87,231.25,1643024
19-Jan-16,232.21,232.48,231.79,231.80,1102697
15-Jan-16,231.90,232.74,231.62,232.11,1486253
14-Jan-16,232.18,232.35,231.91,232.22,1042313
13-Jan-16,232.43,232.51,231.97,232.17,942220
12-Jan-16,232.20,232.47,232.11,232.35,1016050
11-Jan-16,232.20,232.50,232.00,232.10,1245785
8-Jan-16,232.34,232.74,232.05,232.07,1001625
7-Jan-16,232.78,232.78,232.19,232.22,1323350
6-Jan-16,232.29,232.96,232.20,232.78,999397
5-Jan-16,232.08,232.30,232.00,232.30,1022301
4-Jan-16,231.77,232.30,231.75,232.15,1462332
31-Dec-15,232.58,232.58,231.83,232.01,598315
30-Dec-15,231.95,232.40,231.83,231.96,509662
29-Dec-15,231.20,232.13,231.18,232.09,603891
28-Dec-15,231.27,231.36,231.07,231.13,617439
24-Dec-15,231.30,231.47,231.19,231.19,324285
23-Dec-15,231.67,231.90,231.25,231.27,1981871
22-Dec-15,231.15,231.69,231.07,231.61,461723
21-Dec-15,231.12,231.39,230.86,231.03,809288
18-Dec-15,231.55,231.59,230.76,230.76,2048516
17-Dec-15,231.73,231.94,231.49,231.49,971323
16-Dec-15,232.09,232.13,231.60,231.74,1113831
15-Dec-15,231.95,232.00,231.77,231.85,966267
14-Dec-15,232.00,232.15,231.52,231.78,1143095
