Date,Open,High,Low,Close,Volume
9-Dec-16,42.27,42.75,42.26,42.70,2219769
8-Dec-16,41.33,42.31,41.14,42.25,2853155
7-Dec-16,41.14,41.70,41.14,41.67,2760677
6-Dec-16,41.92,42.00,41.30,41.38,3393223
5-Dec-16,41.16,41.76,40.72,41.74,3526768
2-Dec-16,41.37,41.82,41.10,41.25,2266050
1-Dec-16,41.02,41.38,40.84,41.04,3152966
30-Nov-16,42.38,42.44,41.31,41.31,3238171
29-Nov-16,42.58,43.11,42.55,42.84,2500955
28-Nov-16,41.64,42.90,41.60,42.80,3177119
25-Nov-16,40.87,41.59,40.87,41.45,983276
23-Nov-16,40.72,41.16,40.65,40.74,1715987
22-Nov-16,41.05,41.38,40.91,41.25,2491718
21-Nov-16,40.45,41.07,40.45,41.00,1822336
18-Nov-16,40.68,40.89,40.11,40.34,2768387
17-Nov-16,40.50,40.92,40.48,40.72,2441106
16-Nov-16,41.36,41.47,40.40,40.68,3921231
15-Nov-16,40.10,41.34,40.08,41.33,4294680
14-Nov-16,39.42,40.08,39.28,39.97,4418518
11-Nov-16,40.00,40.30,39.37,39.57,2773090
10-Nov-16,40.61,40.72,39.39,40.04,3689387
9-Nov-16,41.39,41.56,40.54,40.63,3158636
8-Nov-16,41.94,42.28,41.80,42.05,2448361
7-Nov-16,41.15,41.89,40.81,41.88,2648061
4-Nov-16,41.17,41.56,40.87,40.90,2059683
3-Nov-16,40.77,41.18,40.50,40.97,2341016
2-Nov-16,41.31,41.31,40.39,40.80,3428518
1-Nov-16,42.11,42.11,41.26,41.35,4005676
31-Oct-16,41.41,42.25,41.03,42.08,3434427
28-Oct-16,41.28,41.46,40.82,41.03,2326626
27-Oct-16,41.11,41.40,40.93,41.21,2847921
26-Oct-16,41.16,41.33,40.84,41.22,1924878
25-Oct-16,40.78,41.17,40.74,41.17,2431140
24-Oct-16,41.12,41.27,40.75,40.86,2014440
21-Oct-16,41.08,41.22,40.81,40.95,1944846
20-Oct-16,41.43,41.70,41.21,41.28,3119824
19-Oct-16,41.81,41.82,41.32,41.42,2046425
18-Oct-16,41.85,41.99,41.28,41.81,2401369
17-Oct-16,41.30,41.76,41.23,41.57,4263184
14-Oct-16,40.91,41.42,40.77,40.90,3268522
13-Oct-16,40.82,41.38,40.65,40.97,6126938
12-Oct-16,40.62,40.92,40.55,40.82,2938204
11-Oct-16,40.78,40.94,40.45,40.59,2490118
10-Oct-16,40.78,41.01,40.58,40.86,2069561
7-Oct-16,41.06,41.51,40.70,40.72,3269469
6-Oct-16,40.59,40.88,40.44,40.75,3190901
5-Oct-16,40.89,41.20,40.43,40.77,3981707
4-Oct-16,41.39,41.39,40.38,40.68,3247546
3-Oct-16,41.72,41.76,40.97,41.30,2632588
