Date,Open,High,Low,Close,Volume
9-Dec-16,34.09,34.28,33.86,34.27,2830702
8-Dec-16,33.91,34.20,33.75,34.05,2477473
7-Dec-16,33.54,33.90,33.42,33.86,3773790
6-Dec-16,33.34,33.59,33.33,33.44,7083062
5-Dec-16,33.68,33.70,33.28,33.32,3038742
2-Dec-16,33.63,33.70,33.43,33.54,1760009
1-Dec-16,33.28,33.69,33.28,33.63,2490744
30-Nov-16,33.60,33.70,33.27,33.30,5265608
29-Nov-16,33.46,33.59,33.29,33.58,2439677
28-Nov-16,33.27,33.53,33.27,33.42,2120936
25-Nov-16,33.41,33.49,33.34,33.45,702791
23-Nov-16,33.26,33.45,33.19,33.40,1934019
22-Nov-16,33.03,33.41,32.93,33.26,2986432
21-Nov-16,32.94,33.09,32.76,32.94,1790735
18-Nov-16,32.92,33.23,32.87,32.94,2779089
17-Nov-16,32.65,33.04,32.54,32.93,3382759
16-Nov-16,33.15,33.27,32.41,32.56,5138647
15-Nov-16,33.37,33.50,33.24,33.34,3129880
14-Nov-16,33.29,33.57,33.13,33.40,3367277
11-Nov-16,32.91,33.27,32.86,33.21,3030493
10-Nov-16,32.21,33.03,32.13,33.00,4208193
9-Nov-16,31.90,32.20,31.62,32.08,3747363
8-Nov-16,31.44,32.05,31.32,31.98,2594296
7-Nov-16,31.47,31.50,31.22,31.45,2053526
4-Nov-16,31.35,31.36,30.99,31.11,2983467
3-Nov-16,31.24,31.53,31.18,31.35,2648637
2-Nov-16,31.19,31.34,31.06,31.12,2028559
1-Nov-16,31.73,31.73,31.13,31.27,2252501
31-Oct-16,31.58,31.60,31.38,31.51,2461861
28-Oct-16,31.69,31.83,31.22,31.46,2512066
27-Oct-16,32.03,32.10,31.65,31.65,1821081
26-Oct-16,31.83,32.12,31.76,31.98,1412725
25-Oct-16,31.92,31.96,31.76,31.87,1876149
24-Oct-16,32.05,32.15,31.84,31.96,1939905
21-Oct-16,31.75,31.96,31.68,31.88,3140964
20-Oct-16,32.15,32.31,31.97,32.01,3100291
19-Oct-16,32.11,32.25,31.98,32.24,3160200
18-Oct-16,32.74,32.77,31.98,32.08,3743222
17-Oct-16,32.71,32.75,32.37,32.46,2707041
14-Oct-16,32.92,33.03,32.62,32.73,3957934
13-Oct-16,32.22,32.60,32.18,32.48,4808862
12-Oct-16,31.12,31.70,31.10,31.67,2422885
11-Oct-16,31.32,31.48,31.02,31.12,2690464
10-Oct-16,31.63,31.63,31.39,31.41,1734464
7-Oct-16,31.03,31.64,31.01,31.44,3702145
6-Oct-16,31.25,31.26,30.62,31.03,3911944
5-Oct-16,31.03,31.32,31.03,31.23,2975382
4-Oct-16,31.14,31.14,30.74,30.88,2753238
