Date,Open,High,Low,Close,Volume
9-Dec-16,19.72,19.76,19.30,19.60,5453225
8-Dec-16,19.39,20.17,19.38,19.85,7336597
7-Dec-16,18.68,19.37,18.60,19.31,7103858
6-Dec-16,18.58,18.77,18.35,18.68,8049411
5-Dec-16,18.44,18.64,18.25,18.28,7624496
2-Dec-16,18.41,18.70,18.29,18.31,4023126
1-Dec-16,18.87,19.03,18.37,18.39,4991133
30-Nov-16,19.33,19.46,18.85,18.86,7322110
29-Nov-16,19.13,19.52,19.10,19.29,8457967
28-Nov-16,19.29,19.29,18.99,19.10,7079029
25-Nov-16,18.99,19.46,18.99,19.27,2361911
23-Nov-16,18.85,19.12,18.78,18.99,6268081
22-Nov-16,18.93,18.96,18.70,18.82,4823805
21-Nov-16,18.89,19.02,18.38,18.91,8148303
18-Nov-16,18.93,19.02,18.80,18.84,3629742
17-Nov-16,18.65,19.02,18.64,18.94,5420188
16-Nov-16,18.60,18.73,18.42,18.44,3077262
15-Nov-16,18.54,18.78,18.25,18.66,4163392
14-Nov-16,18.47,18.76,18.36,18.64,4716300
11-Nov-16,18.66,18.80,18.31,18.32,9359336
10-Nov-16,18.09,18.71,17.92,18.69,13626294
9-Nov-16,17.99,18.33,17.69,18.04,10358355
8-Nov-16,18.41,18.45,18.01,18.31,5460241
7-Nov-16,18.55,18.72,18.48,18.60,4123546
4-Nov-16,18.01,18.59,17.88,18.24,6939236
3-Nov-16,18.36,18.45,17.96,18.01,5352236
2-Nov-16,18.57,18.64,18.10,18.31,5617600
1-Nov-16,18.63,18.80,18.35,18.63,7301711
31-Oct-16,18.54,18.76,18.52,18.60,3174954
28-Oct-16,18.20,18.70,18.20,18.51,4416801
27-Oct-16,18.67,18.72,18.12,18.19,6789266
26-Oct-16,18.42,18.78,18.36,18.58,4057369
25-Oct-16,19.02,19.07,18.55,18.57,6626769
24-Oct-16,19.20,19.33,19.00,19.09,5873702
21-Oct-16,19.03,19.18,19.01,19.06,5865101
20-Oct-16,19.49,20.04,18.68,19.20,11242464
19-Oct-16,19.82,19.99,19.72,19.88,4510530
18-Oct-16,19.61,19.86,19.45,19.81,3576371
17-Oct-16,19.39,19.63,19.34,19.40,3324696
14-Oct-16,19.52,19.67,19.35,19.43,4598445
13-Oct-16,19.60,19.65,19.34,19.40,3543949
12-Oct-16,19.68,19.90,19.63,19.75,4404159
11-Oct-16,19.85,19.92,19.51,19.68,5080979
10-Oct-16,20.06,20.27,19.93,19.93,2699989
7-Oct-16,20.38,20.50,19.89,19.94,3869774
6-Oct-16,20.39,20.45,20.20,20.34,4161432
5-Oct-16,20.21,20.66,20.17,20.45,4555546
4-Oct-16,20.00,20.25,19.98,20.09,4787608
3-Oct-16,19.93,20.16,19.81,20.04,3084247
30-Sep-16,19.92,20.08,19.70,20.04,3621785
29-Sep-16,20.14,20.23,19.73,19.81,3544881
28-Sep-16,19.91,20.16,19.85,20.14,3784218
27-Sep-16,19.80,20.00,19.71,19.89,3538439
26-Sep-16,19.69,19.86,19.63,19.77,3674333
23-Sep-16,19.81,19.99,19.72,19.81,3918443
22-Sep-16,19.55,19.92,19.46,19.86,5603898
21-Sep-16,19.29,19.45,19.05,19.41,5265244
