Date,Open,High,Low,Close,Volume
9-Dec-16,114.56,115.02,113.57,115.02,2565802
8-Dec-16,113.33,115.69,112.88,114.82,3083445
7-Dec-16,111.70,112.69,110.97,112.67,4257664
6-Dec-16,111.46,111.99,110.84,111.49,4162821
5-Dec-16,112.04,112.52,111.10,111.50,3607479
2-Dec-16,112.42,112.42,110.68,111.08,2449353
1-Dec-16,111.23,112.68,110.68,112.60,5430041
30-Nov-16,110.60,111.23,110.12,110.54,5570195
29-Nov-16,110.00,110.43,109.16,109.26,3943766
28-Nov-16,111.23,111.62,109.61,109.80,2183312
25-Nov-16,111.23,112.07,111.15,112.07,1047854
23-Nov-16,111.31,111.97,110.37,111.14,3708551
22-Nov-16,110.87,111.44,110.19,110.76,2878882
21-Nov-16,111.35,111.35,110.22,110.71,2270594
18-Nov-16,110.91,111.38,110.27,111.24,5245777
17-Nov-16,107.52,110.80,107.46,110.60,4148200
16-Nov-16,107.74,108.16,106.97,107.51,3355195
15-Nov-16,106.88,108.83,105.47,108.78,3821142
14-Nov-16,106.91,109.17,106.48,108.10,6833954
11-Nov-16,105.43,106.23,104.78,105.93,4186776
10-Nov-16,102.42,106.34,102.42,105.98,6897532
9-Nov-16,98.29,101.63,97.30,101.25,5235185
8-Nov-16,95.95,96.99,95.30,96.64,2491964
7-Nov-16,96.01,96.56,95.97,96.40,2467046
4-Nov-16,95.19,95.60,94.30,94.65,2753663
3-Nov-16,95.05,96.35,94.54,94.90,3139169
2-Nov-16,95.09,95.30,94.44,94.77,3283187
1-Nov-16,96.07,96.26,94.64,95.57,2588819
31-Oct-16,95.46,95.73,95.08,95.60,2951510
28-Oct-16,95.70,95.74,94.39,95.10,2592981
27-Oct-16,94.58,95.59,94.46,95.43,3482004
26-Oct-16,92.92,94.40,92.76,94.28,2631700
25-Oct-16,93.61,93.69,92.87,93.14,3935282
24-Oct-16,93.38,93.67,92.87,93.02,2778742
21-Oct-16,92.79,93.18,92.37,92.92,3901026
20-Oct-16,91.19,93.43,91.04,93.30,4775488
19-Oct-16,90.23,91.87,90.13,91.60,3442828
18-Oct-16,89.46,89.96,88.64,89.86,2630219
17-Oct-16,88.42,89.18,87.97,88.21,3053848
14-Oct-16,89.59,90.09,87.59,88.03,4586379
13-Oct-16,89.00,89.25,87.34,87.94,4091751
12-Oct-16,90.65,91.10,90.17,90.38,2975955
11-Oct-16,91.64,91.89,90.18,90.51,2822103
10-Oct-16,91.79,92.06,91.41,91.69,2392497
7-Oct-16,91.78,91.99,90.79,91.42,2081672
6-Oct-16,91.75,91.99,90.98,91.82,3004550
5-Oct-16,90.77,91.94,90.34,91.52,3382503
4-Oct-16,90.23,90.77,89.44,90.50,2583656
3-Oct-16,89.55,89.97,89.12,89.40,1776216
30-Sep-16,89.57,90.50,89.28,90.09,3380090
29-Sep-16,89.22,90.44,88.52,88.99,3940760
28-Sep-16,88.87,89.49,88.48,89.41,3313054
27-Sep-16,87.38,88.69,87.04,88.55,3116507
26-Sep-16,88.88,89.03,87.53,87.77,3067853
23-Sep-16,89.86,90.50,89.41,89.41,2480217
22-Sep-16,90.93,91.13,89.79,90.00,2909223
21-Sep-16,90.92,91.39,90.07,90.74,1889307
20-Sep-16,90.92,90.96,90.07,90.36,1909143
19-Sep-16,89.89,91.10,89.82,90.11,1922674
16-Sep-16,89.03,89.90,88.83,89.39,3534951
15-Sep-16,89.06,90.64,88.82,90.32,2940364
14-Sep-16,89.80,90.45,89.17,89.29,3413653
13-Sep-16,89.86,90.24,88.81,89.92,2719634
12-Sep-16,89.27,91.14,88.86,90.90,2601860
9-Sep-16,90.54,91.35,89.92,89.92,2913759
8-Sep-16,90.53,91.13,90.24,90.72,2185997
7-Sep-16,89.57,90.43,89.07,90.42,2179754
6-Sep-16,90.36,90.51,88.85,89.48,2143449
2-Sep-16,90.09,90.89,89.53,90.54,2017861
1-Sep-16,90.29,90.64,89.19,89.99,3061180
31-Aug-16,89.47,90.16,88.72,90.10,4314911
30-Aug-16,87.93,88.87,87.89,88.87,2364189
29-Aug-16,86.78,88.18,86.54,87.92,3048533
26-Aug-16,86.31,87.00,85.80,86.69,1921979
25-Aug-16,85.62,86.08,85.54,85.87,1191000
24-Aug-16,85.79,86.08,85.50,85.67,1713431
23-Aug-16,85.98,86.38,85.70,85.71,1503695
22-Aug-16,85.31,85.63,85.09,85.53,1131461
19-Aug-16,85.31,85.57,84.97,85.42,1395385
18-Aug-16,85.73,85.93,85.24,85.46,1654230
17-Aug-16,85.65,85.96,85.53,85.78,1510827
16-Aug-16,85.18,85.96,85.12,85.67,1258629
15-Aug-16,85.08,85.78,85.06,85.63,1862626
12-Aug-16,84.63,85.09,84.60,85.00,1085338
11-Aug-16,85.41,85.72,85.00,85.50,1686514
10-Aug-16,86.08,86.27,85.30,85.39,1798397
9-Aug-16,86.41,86.72,85.96,86.25,2028622
8-Aug-16,86.36,86.97,86.22,86.49,2511652
5-Aug-16,84.72,86.48,84.64,86.44,3227182
4-Aug-16,84.06,84.35,83.64,83.88,2629764
3-Aug-16,82.17,83.96,82.17,83.85,3615240
2-Aug-16,82.37,82.66,81.35,81.66,2121637
1-Aug-16,83.09,83.42,82.30,82.42,2355892
29-Jul-16,82.71,83.32,82.65,82.65,2374572
