Date,Open,High,Low,Close,Volume
9-Dec-16,75.18,76.27,75.16,76.19,488643
8-Dec-16,74.61,75.23,74.07,75.14,642555
7-Dec-16,74.74,75.14,74.50,75.11,633412
6-Dec-16,74.12,74.61,73.74,74.56,1214008
5-Dec-16,73.25,73.82,72.61,73.82,841107
2-Dec-16,73.56,74.39,73.18,73.54,625596
1-Dec-16,73.64,73.77,72.62,73.13,713105
30-Nov-16,75.52,75.58,73.90,73.93,848593
29-Nov-16,76.37,77.34,76.37,76.68,717441
28-Nov-16,75.53,77.01,75.53,76.63,645385
25-Nov-16,74.22,75.47,74.03,75.34,358691
23-Nov-16,74.27,75.02,73.83,73.96,688856
22-Nov-16,74.79,75.35,74.14,75.06,935746
21-Nov-16,73.50,74.27,73.48,74.10,420844
18-Nov-16,73.67,74.31,72.92,73.26,893363
17-Nov-16,73.48,74.36,73.44,73.75,574810
16-Nov-16,74.22,74.44,73.31,73.75,1337039
15-Nov-16,73.40,74.29,73.38,74.06,864664
14-Nov-16,72.98,73.43,72.15,73.08,964925
11-Nov-16,72.85,74.39,72.85,73.44,1622371
10-Nov-16,73.76,73.80,70.86,72.82,1081166
9-Nov-16,74.71,75.05,73.34,73.98,1492361
8-Nov-16,75.23,76.15,75.09,75.74,580353
7-Nov-16,74.56,75.06,73.44,75.05,896994
4-Nov-16,74.65,75.51,73.98,74.11,905067
3-Nov-16,73.76,75.00,73.76,74.22,1063291
2-Nov-16,74.65,74.76,73.48,74.51,772187
1-Nov-16,76.21,76.21,74.60,74.79,636259
31-Oct-16,74.96,76.59,74.80,76.13,1085787
28-Oct-16,74.47,75.08,74.11,74.60,531984
27-Oct-16,74.78,75.27,74.56,74.88,763256
26-Oct-16,75.14,75.35,74.55,75.16,688364
25-Oct-16,74.40,75.22,74.38,75.20,415277
24-Oct-16,74.44,74.90,74.04,74.75,423846
21-Oct-16,74.63,74.66,73.60,74.08,714234
20-Oct-16,75.13,75.46,74.61,74.75,516598
19-Oct-16,75.12,75.20,74.55,74.96,526792
18-Oct-16,74.65,75.31,73.91,75.12,773022
17-Oct-16,73.87,74.49,73.78,74.24,394037
14-Oct-16,73.97,74.55,73.63,73.66,618798
13-Oct-16,73.64,74.89,73.52,74.31,790687
12-Oct-16,72.94,73.80,72.94,73.61,684717
11-Oct-16,73.53,73.63,72.84,72.90,606472
10-Oct-16,73.21,73.87,72.90,73.78,877171
7-Oct-16,73.46,74.29,72.66,72.69,1373609
6-Oct-16,72.55,73.21,72.07,72.97,1148660
5-Oct-16,73.16,73.92,72.56,72.81,961813
4-Oct-16,74.82,74.82,72.61,73.00,758116
3-Oct-16,75.81,75.81,74.44,74.98,813789
30-Sep-16,77.16,77.45,75.56,75.99,951379
29-Sep-16,77.66,77.66,76.33,76.76,695611
28-Sep-16,78.69,78.69,77.19,77.87,1094324
27-Sep-16,79.74,80.19,78.41,78.51,770997
26-Sep-16,79.50,79.72,78.98,79.38,653815
23-Sep-16,79.06,79.70,78.56,79.39,677555
22-Sep-16,78.80,79.15,78.40,79.09,601849
21-Sep-16,76.75,78.34,76.75,78.31,704663
20-Sep-16,77.17,77.43,76.82,76.83,659617
19-Sep-16,76.34,76.97,76.22,76.88,757134
16-Sep-16,75.02,76.41,74.70,76.29,1263003
15-Sep-16,74.44,75.41,74.32,75.33,528626
14-Sep-16,74.54,75.29,74.18,74.57,796856
13-Sep-16,75.11,75.17,73.94,74.41,703505
12-Sep-16,74.07,75.45,73.98,75.24,913891
9-Sep-16,76.11,76.11,73.94,73.95,710375
8-Sep-16,76.70,77.32,76.48,76.85,511739
7-Sep-16,76.98,77.23,76.45,76.95,635216
6-Sep-16,76.57,77.19,76.23,77.08,863348
2-Sep-16,74.88,76.12,74.76,76.07,692627
1-Sep-16,74.91,75.34,74.58,74.81,482227
31-Aug-16,74.46,75.07,74.28,75.04,664407
30-Aug-16,75.30,75.69,74.53,74.63,420684
29-Aug-16,75.04,75.81,75.04,75.40,425564
26-Aug-16,76.87,77.35,74.75,74.83,456610
25-Aug-16,76.62,77.04,76.56,76.73,374677
24-Aug-16,76.61,76.82,76.11,76.66,358116
23-Aug-16,77.11,77.57,76.84,76.85,660687
22-Aug-16,76.76,77.42,76.50,77.11,562864
19-Aug-16,77.35,77.61,76.23,76.65,510270
18-Aug-16,76.44,77.69,76.44,77.69,714244
17-Aug-16,75.28,76.72,74.82,76.56,844337
16-Aug-16,76.33,76.33,75.47,75.54,598002
15-Aug-16,77.94,77.96,76.44,76.45,416220
12-Aug-16,77.85,78.46,77.85,77.92,382961
11-Aug-16,77.73,77.89,77.42,77.70,508307
10-Aug-16,77.53,77.65,77.38,77.59,495393
9-Aug-16,77.33,77.84,77.08,77.44,437151
8-Aug-16,77.25,78.05,76.79,77.29,620706
5-Aug-16,77.98,77.99,77.00,77.17,790602
4-Aug-16,78.09,78.85,77.85,78.15,625953
3-Aug-16,78.77,78.95,77.87,78.15,635100
2-Aug-16,78.88,79.19,78.32,78.78,778239
1-Aug-16,78.67,79.54,78.61,79.50,752025
29-Jul-16,78.55,79.17,78.40,78.87,539707
28-Jul-16,78.04,78.64,77.79,78.49,478156
27-Jul-16,79.29,79.29,78.02,78.66,684910
26-Jul-16,80.38,80.38,79.18,79.48,581334
25-Jul-16,80.61,80.85,79.98,80.47,505810
22-Jul-16,79.58,80.74,79.41,80.59,576117
21-Jul-16,78.88,79.78,78.58,79.66,566067
20-Jul-16,77.96,79.80,77.96,79.15,555723
19-Jul-16,78.23,79.95,78.23,79.68,693307
18-Jul-16,79.25,80.20,79.24,79.81,602653
15-Jul-16,79.48,79.94,79.19,79.53,961566
14-Jul-16,79.33,79.87,79.12,79.35,699400
13-Jul-16,80.10,80.17,79.67,80.01,763903
12-Jul-16,80.47,80.84,79.38,79.44,899609
11-Jul-16,80.93,81.15,80.02,81.08,562063
8-Jul-16,80.69,81.19,79.97,81.17,1547174
7-Jul-16,82.32,82.32,80.69,80.95,1057188
6-Jul-16,82.38,82.78,81.66,82.54,1246112
5-Jul-16,81.22,82.61,80.84,82.56,1030775
1-Jul-16,81.56,81.59,80.27,81.08,773312
30-Jun-16,79.30,81.08,79.03,81.06,1088528
29-Jun-16,79.72,79.72,78.86,79.14,814373
28-Jun-16,79.19,79.34,78.25,79.05,980922
27-Jun-16,77.95,79.42,77.94,79.13,907992
24-Jun-16,76.78,78.59,76.65,77.95,701762
23-Jun-16,77.20,77.31,76.66,77.31,469335
22-Jun-16,77.65,77.70,77.05,77.08,483824
21-Jun-16,77.52,77.93,77.01,77.50,610818
20-Jun-16,77.76,77.93,76.60,77.48,724460
17-Jun-16,77.56,77.81,76.86,77.78,1015984
16-Jun-16,76.85,77.69,76.82,77.51,707504
15-Jun-16,77.43,77.43,76.45,76.73,795899
14-Jun-16,76.66,77.43,76.21,77.41,563087
13-Jun-16,76.83,77.05,76.36,76.66,599579
10-Jun-16,76.94,77.54,76.50,76.73,639842
9-Jun-16,76.00,77.28,76.00,77.17,642432
8-Jun-16,75.51,76.00,75.44,76.00,613273
7-Jun-16,75.27,75.85,74.96,75.54,875919
6-Jun-16,75.77,75.98,74.95,75.26,606454
3-Jun-16,74.99,76.26,74.99,75.76,856984
2-Jun-16,74.16,74.30,73.40,74.26,1014048
1-Jun-16,73.38,74.35,73.07,74.33,952613
31-May-16,73.15,73.70,72.60,73.59,1210749
27-May-16,73.03,73.27,72.51,73.19,544877
26-May-16,72.10,73.03,71.74,72.87,596099
25-May-16,71.91,72.10,71.31,71.97,724235
24-May-16,71.40,72.24,71.04,72.07,569051
23-May-16,71.63,71.76,71.04,71.08,654568
20-May-16,71.67,71.67,70.81,71.56,1073054
19-May-16,70.50,71.46,70.11,71.41,495915
18-May-16,72.41,72.62,70.57,70.75,1318522
17-May-16,74.27,74.41,72.59,72.88,678082
16-May-16,74.24,74.58,73.72,74.57,684037
13-May-16,74.25,74.44,73.61,74.21,501632
12-May-16,73.72,74.65,73.39,74.44,670081
11-May-16,73.71,73.89,73.09,73.74,657572
10-May-16,73.69,74.09,73.12,73.56,523225
9-May-16,73.09,73.77,72.87,73.57,532782
6-May-16,73.15,73.15,72.21,72.98,713638
5-May-16,73.52,74.33,72.92,73.22,629311
4-May-16,72.78,74.19,72.32,73.73,871803
3-May-16,73.28,73.64,72.66,72.98,1182994
2-May-16,72.78,74.27,72.43,73.35,1768600
29-Apr-16,70.61,72.81,70.23,72.65,1487920
28-Apr-16,70.89,71.90,70.75,71.58,1138016
27-Apr-16,71.56,72.58,71.11,72.16,799167
26-Apr-16,71.50,71.94,71.13,71.27,596804
25-Apr-16,71.32,71.66,71.08,71.61,571707
22-Apr-16,71.32,71.72,71.15,71.46,620180
