Date,Open,High,Low,Close,Volume
9-Dec-16,123.03,124.40,121.43,123.92,1376550
8-Dec-16,122.64,123.61,121.94,122.96,1267533
7-Dec-16,119.72,122.54,119.40,122.26,2813600
6-Dec-16,119.58,120.18,118.86,119.02,995990
5-Dec-16,119.52,120.02,118.39,119.76,1946948
2-Dec-16,119.61,120.41,119.09,119.58,935011
1-Dec-16,120.58,121.03,119.20,119.73,1840846
30-Nov-16,122.56,122.65,120.04,120.30,2108195
29-Nov-16,118.15,123.95,117.14,122.18,3835865
28-Nov-16,118.77,119.07,118.48,118.69,749878
25-Nov-16,118.84,119.28,118.69,119.08,351979
23-Nov-16,116.39,118.71,116.10,118.71,1625772
22-Nov-16,117.42,117.43,116.25,116.83,1112450
21-Nov-16,116.46,117.12,116.37,116.74,1158194
18-Nov-16,116.25,116.52,115.54,115.78,1041212
17-Nov-16,117.46,117.81,116.02,116.29,1036111
16-Nov-16,117.16,117.39,116.59,117.15,605559
15-Nov-16,116.52,117.13,115.90,117.08,1075582
14-Nov-16,118.42,118.68,115.68,116.79,1613428
11-Nov-16,119.75,120.33,117.03,117.85,1379506
10-Nov-16,118.89,121.66,118.89,120.23,1554595
9-Nov-16,115.66,119.38,115.32,118.68,1798821
8-Nov-16,117.48,118.41,116.75,117.85,763951
7-Nov-16,115.96,117.50,115.64,117.48,1459310
4-Nov-16,115.18,115.40,114.43,114.50,855426
3-Nov-16,115.22,115.60,114.66,114.84,759287
2-Nov-16,115.75,116.07,114.62,115.00,957587
1-Nov-16,117.16,117.46,115.08,115.98,866345
31-Oct-16,117.86,118.10,116.80,117.06,1257982
28-Oct-16,116.73,118.24,116.45,117.44,1122982
27-Oct-16,118.24,118.24,114.70,116.56,2053223
26-Oct-16,118.09,118.95,117.55,118.57,920223
25-Oct-16,119.50,119.50,118.33,118.53,599249
24-Oct-16,120.07,120.76,119.31,119.56,617321
21-Oct-16,118.90,120.14,118.10,119.88,683558
20-Oct-16,119.25,120.05,118.80,119.77,673049
19-Oct-16,118.74,120.01,118.21,119.88,849882
18-Oct-16,118.39,118.85,117.77,118.49,726186
17-Oct-16,116.94,117.34,116.73,117.08,638304
14-Oct-16,117.81,118.00,117.18,117.18,464337
13-Oct-16,116.29,117.31,114.83,117.10,669539
12-Oct-16,116.99,117.69,116.78,117.31,636675
11-Oct-16,118.36,118.42,116.33,117.13,1095794
10-Oct-16,120.07,120.07,118.71,118.77,733719
7-Oct-16,121.16,121.16,118.32,118.85,1126144
6-Oct-16,120.10,121.02,119.94,120.85,913266
5-Oct-16,121.10,121.32,120.10,120.36,918171
4-Oct-16,121.30,122.00,120.19,120.36,1346325
3-Oct-16,120.36,121.57,119.83,121.24,1708258
30-Sep-16,119.52,121.17,118.99,120.83,1698281
29-Sep-16,118.59,119.84,118.41,118.86,1648497
28-Sep-16,118.55,119.50,117.73,118.35,2086596
27-Sep-16,116.43,117.33,116.35,117.00,965384
26-Sep-16,116.76,117.40,116.37,116.43,1477360
23-Sep-16,117.94,118.26,116.60,116.84,1558168
