Date,Open,High,Low,Close,Volume
9-Dec-16,137.81,139.64,137.72,139.56,710876
8-Dec-16,138.37,138.37,136.77,137.61,745562
7-Dec-16,136.33,139.16,135.88,138.93,734191
6-Dec-16,135.70,136.47,135.47,136.40,1001459
5-Dec-16,137.22,138.00,135.54,136.22,2048275
2-Dec-16,136.70,137.80,135.49,136.79,1274340
1-Dec-16,134.48,138.76,134.21,137.19,2044394
30-Nov-16,131.92,134.27,131.92,133.71,1183380
29-Nov-16,130.45,131.92,129.66,131.34,851937
28-Nov-16,132.34,132.89,130.40,130.50,843780
25-Nov-16,131.93,132.96,131.86,132.92,374597
23-Nov-16,131.13,132.03,131.13,131.86,684027
22-Nov-16,132.15,132.15,130.88,131.71,759218
21-Nov-16,131.99,132.50,131.49,131.71,660834
18-Nov-16,131.55,132.49,131.05,131.20,609015
17-Nov-16,133.50,133.68,131.83,131.95,730592
16-Nov-16,132.36,133.47,132.12,133.38,815266
15-Nov-16,131.99,133.54,129.69,133.48,988007
14-Nov-16,132.00,133.28,131.84,132.22,1525679
11-Nov-16,129.85,131.72,129.28,131.71,1021541
10-Nov-16,128.11,130.85,127.30,130.75,1572595
9-Nov-16,123.09,128.01,123.07,126.85,1419808
8-Nov-16,124.50,125.76,123.69,125.03,1080845
7-Nov-16,120.46,124.90,120.46,124.24,1863262
4-Nov-16,117.79,119.36,117.51,117.56,1143900
3-Nov-16,118.89,118.89,117.24,117.47,608748
2-Nov-16,118.83,119.42,118.00,118.31,626643
1-Nov-16,120.24,120.73,118.13,118.96,842760
31-Oct-16,119.48,120.37,118.52,119.72,790892
28-Oct-16,118.49,120.06,118.03,118.80,620405
27-Oct-16,120.50,121.02,117.88,118.21,847399
26-Oct-16,118.49,121.18,118.36,120.62,734181
25-Oct-16,118.72,119.45,117.90,118.62,884821
24-Oct-16,123.91,124.50,119.08,119.67,2482553
21-Oct-16,116.94,126.15,116.28,122.99,6596561
20-Oct-16,117.14,118.20,116.43,118.01,828269
19-Oct-16,116.07,118.30,115.66,117.45,646699
18-Oct-16,116.76,117.12,115.72,115.97,549055
17-Oct-16,116.37,116.96,115.36,115.52,758087
14-Oct-16,117.40,118.17,116.78,116.80,942942
13-Oct-16,115.48,116.88,115.09,116.30,931345
12-Oct-16,115.39,116.71,114.48,116.27,594981
11-Oct-16,116.45,116.63,114.46,115.20,882897
10-Oct-16,120.02,120.12,116.90,117.04,1696081
7-Oct-16,120.13,120.20,118.55,119.70,887225
6-Oct-16,121.20,121.20,119.95,120.67,340983
5-Oct-16,119.83,121.42,119.48,121.24,584607
4-Oct-16,120.99,123.48,119.01,119.19,958103
3-Oct-16,121.61,121.94,119.14,120.57,1096899
30-Sep-16,119.50,123.11,119.27,122.34,2568222
29-Sep-16,117.37,118.33,116.84,117.12,830307
