Date,Open,High,Low,Close,Volume
9-Dec-16,38.79,39.21,38.06,38.78,4043047
8-Dec-16,38.54,38.75,37.32,38.36,3412952
7-Dec-16,38.77,39.64,37.83,38.22,3541155
6-Dec-16,37.93,38.72,37.71,38.39,2886053
5-Dec-16,37.20,39.00,37.17,38.42,5939163
2-Dec-16,36.34,36.66,35.63,36.36,3669015
1-Dec-16,36.40,37.51,36.12,36.59,7328980
30-Nov-16,38.52,38.60,34.86,35.18,8806904
29-Nov-16,35.67,36.82,35.14,36.37,4623933
28-Nov-16,36.78,37.46,36.49,36.51,4513842
25-Nov-16,36.48,36.70,35.88,36.28,1766178
23-Nov-16,35.20,36.79,35.06,36.78,3040660
22-Nov-16,36.50,36.50,34.87,35.64,3885296
21-Nov-16,34.86,36.61,34.86,36.40,6186643
18-Nov-16,34.55,35.14,33.92,34.02,3318469
17-Nov-16,34.90,35.35,33.94,34.03,3382791
16-Nov-16,34.56,35.14,34.09,34.39,3253296
15-Nov-16,34.08,35.40,34.08,34.69,4328000
14-Nov-16,32.04,33.63,31.86,33.61,5127987
11-Nov-16,32.22,32.32,31.66,31.99,4264579
10-Nov-16,32.66,33.29,32.42,32.45,3303637
9-Nov-16,32.05,33.62,31.84,33.36,4435112
8-Nov-16,33.05,33.40,31.75,31.84,5809142
7-Nov-16,32.70,33.76,32.32,33.62,4733734
4-Nov-16,31.85,32.52,31.62,32.02,3071335
3-Nov-16,32.02,32.50,31.82,31.96,2942223
2-Nov-16,32.07,32.55,31.20,31.92,4665030
1-Nov-16,33.72,33.96,32.02,32.58,6785242
31-Oct-16,35.03,35.11,33.48,33.79,4495136
28-Oct-16,35.48,35.93,34.45,34.51,4035208
27-Oct-16,35.03,36.23,34.70,35.65,5323223
26-Oct-16,36.80,36.85,33.38,34.95,11222700
25-Oct-16,35.81,36.32,35.65,35.89,4286568
24-Oct-16,37.00,37.18,35.65,36.15,3371950
21-Oct-16,38.22,38.24,37.08,37.20,3913240
20-Oct-16,37.84,38.72,37.53,38.59,2747629
19-Oct-16,38.02,38.82,37.83,38.22,3816934
18-Oct-16,38.53,38.53,37.45,38.07,2580754
17-Oct-16,37.85,38.29,37.03,37.75,3981514
14-Oct-16,39.43,39.50,37.95,37.98,4181896
13-Oct-16,37.88,39.92,37.81,39.41,6724557
12-Oct-16,38.29,38.48,37.82,38.04,3621707
11-Oct-16,39.08,39.28,38.44,38.78,3792902
10-Oct-16,39.57,40.20,39.18,39.24,5124906
7-Oct-16,39.15,39.45,38.63,39.26,7107457
6-Oct-16,39.13,39.35,38.06,38.45,3702454
5-Oct-16,39.27,39.43,38.19,39.00,4624927
4-Oct-16,39.24,39.24,38.51,39.05,3266552
3-Oct-16,38.79,39.25,38.46,39.11,3610034
30-Sep-16,37.88,38.78,37.42,38.75,4425039
29-Sep-16,38.31,38.67,37.16,37.56,4262639
28-Sep-16,37.45,39.00,36.76,38.62,6160355
27-Sep-16,37.96,37.96,36.75,36.97,4375091
26-Sep-16,38.50,39.32,38.32,38.53,3464494
23-Sep-16,38.33,39.10,37.42,38.16,4609489
22-Sep-16,38.65,39.04,37.82,38.33,4600261
21-Sep-16,37.24,38.33,36.95,38.26,8387372
20-Sep-16,37.53,37.73,36.58,36.58,7109460
19-Sep-16,38.00,38.00,36.99,37.15,5598692
16-Sep-16,37.87,38.39,36.95,37.38,15399118
15-Sep-16,39.29,40.06,38.56,39.37,4564292
14-Sep-16,41.16,42.03,39.06,39.29,5737209
13-Sep-16,42.52,42.80,41.28,41.42,5078259
12-Sep-16,41.99,43.04,41.52,42.92,3292838
9-Sep-16,42.63,43.60,42.24,42.24,2907983
8-Sep-16,41.45,43.29,41.37,43.07,3941220
7-Sep-16,42.50,42.50,41.34,41.81,2333318
6-Sep-16,40.45,41.72,40.29,41.58,2481525
2-Sep-16,39.52,40.80,39.47,40.47,2733306
1-Sep-16,38.00,39.29,38.00,39.07,2397122
31-Aug-16,39.48,39.64,38.37,38.57,2210222
30-Aug-16,40.05,41.05,39.50,39.72,2518624
29-Aug-16,39.53,40.09,39.28,39.78,1767491
26-Aug-16,40.43,41.02,39.50,39.65,2123943
25-Aug-16,40.41,40.87,40.04,40.12,1767682
24-Aug-16,40.97,41.16,40.32,40.42,2727174
23-Aug-16,39.28,41.50,39.25,41.26,3089130
22-Aug-16,40.00,40.27,39.25,39.43,2239026
19-Aug-16,40.53,40.85,39.62,40.40,3036465
18-Aug-16,39.19,40.82,38.91,40.79,3043978
17-Aug-16,39.15,39.56,38.46,38.84,2147877
16-Aug-16,39.23,39.54,38.20,39.19,2512255
15-Aug-16,38.80,39.55,38.53,39.14,2337729
