Date,Open,High,Low,Close,Volume
9-Dec-16,8.71,8.80,8.42,8.48,19560796
8-Dec-16,8.89,8.94,8.71,8.74,30510575
7-Dec-16,8.44,8.98,8.17,8.90,61598914
6-Dec-16,8.08,8.61,7.93,8.17,53277681
5-Dec-16,8.01,8.10,7.95,8.05,17368232
2-Dec-16,7.91,8.00,7.91,7.98,8775180
1-Dec-16,7.85,8.00,7.84,7.94,11291674
30-Nov-16,8.10,8.11,7.84,7.84,17325992
29-Nov-16,7.90,8.10,7.89,8.00,18199512
28-Nov-16,7.81,7.96,7.80,7.86,10973972
25-Nov-16,7.69,7.94,7.67,7.89,9176467
23-Nov-16,7.64,7.72,7.53,7.69,10554123
22-Nov-16,7.48,7.67,7.46,7.65,15499228
21-Nov-16,7.43,7.59,7.39,7.45,14379385
18-Nov-16,7.53,7.56,7.29,7.35,16789651
17-Nov-16,7.69,7.71,7.46,7.49,13938156
16-Nov-16,7.71,7.81,7.42,7.68,22539847
15-Nov-16,7.50,7.77,7.41,7.74,20439089
14-Nov-16,7.13,7.54,7.10,7.50,26705768
11-Nov-16,7.01,7.19,6.85,7.09,17662824
10-Nov-16,7.13,7.44,6.92,7.08,34257463
9-Nov-16,6.22,7.20,6.20,7.11,78916700
8-Nov-16,6.21,6.37,6.17,6.27,14830509
7-Nov-16,6.31,6.31,6.13,6.18,16630329
4-Nov-16,6.07,6.29,6.07,6.13,13696530
3-Nov-16,5.98,6.16,5.95,6.07,24795543
2-Nov-16,6.15,6.15,5.83,5.95,21770502
1-Nov-16,6.15,6.24,6.05,6.17,12925065
31-Oct-16,6.36,6.38,6.16,6.16,9654692
28-Oct-16,6.31,6.52,6.30,6.31,14778263
27-Oct-16,6.40,6.46,6.18,6.29,19862034
26-Oct-16,6.41,6.51,6.31,6.36,15675981
25-Oct-16,6.77,6.88,6.25,6.50,47810336
24-Oct-16,6.60,6.95,6.59,6.92,27106751
21-Oct-16,6.72,6.74,6.52,6.55,23888251
20-Oct-16,6.88,6.92,6.70,6.72,13927972
19-Oct-16,6.87,6.99,6.80,6.88,11279358
18-Oct-16,7.02,7.16,6.64,6.86,46109986
17-Oct-16,7.01,7.03,6.84,6.92,12105661
14-Oct-16,6.92,7.10,6.83,7.03,31921728
13-Oct-16,6.84,6.97,6.56,6.77,16974806
12-Oct-16,6.89,7.01,6.76,6.78,22382758
11-Oct-16,6.71,6.80,6.65,6.78,19902824
10-Oct-16,6.52,6.79,6.50,6.73,14511538
7-Oct-16,6.55,6.61,6.43,6.48,12176605
