Date,Open,High,Low,Close,Volume
9-Dec-16,41.02,41.23,40.76,40.88,2935714
8-Dec-16,41.02,41.36,40.88,41.00,3446447
7-Dec-16,40.60,41.07,40.39,41.07,4883588
6-Dec-16,40.42,40.69,40.15,40.54,3715112
5-Dec-16,40.78,41.00,40.52,40.72,3594252
2-Dec-16,40.34,40.89,40.34,40.60,2307278
1-Dec-16,41.78,41.78,40.21,40.27,4328667
30-Nov-16,42.25,42.33,40.88,40.95,7718306
29-Nov-16,41.30,41.34,40.55,41.12,2800966
28-Nov-16,41.93,41.93,41.43,41.79,4541795
25-Nov-16,41.58,41.74,41.49,41.73,1297223
23-Nov-16,41.71,42.01,41.66,41.90,3918167
22-Nov-16,42.45,42.58,41.76,42.00,4410602
21-Nov-16,41.57,42.34,41.57,42.34,3023517
18-Nov-16,40.81,41.16,40.69,41.16,2363313
17-Nov-16,40.54,40.97,40.39,40.80,3330420
16-Nov-16,39.92,40.40,39.92,40.32,2187714
15-Nov-16,39.27,40.23,39.21,40.09,2790893
14-Nov-16,39.52,39.91,38.76,38.88,4158762
11-Nov-16,40.80,40.81,39.58,39.60,5260272
10-Nov-16,40.93,41.35,40.81,41.03,4898700
9-Nov-16,40.78,41.28,40.53,41.16,5023312
8-Nov-16,40.91,41.53,40.91,41.38,3626683
7-Nov-16,40.37,41.50,40.23,41.50,3550221
4-Nov-16,39.62,40.06,39.36,40.03,5058698
3-Nov-16,40.10,40.44,39.17,39.83,3180558
2-Nov-16,41.42,41.45,40.16,40.38,4583072
1-Nov-16,42.13,42.16,41.28,41.82,4852910
31-Oct-16,42.17,42.23,41.70,41.81,4099548
28-Oct-16,42.70,42.88,42.08,42.17,3023471
27-Oct-16,42.27,42.74,42.07,42.71,2685792
26-Oct-16,41.77,42.37,41.58,42.20,2721032
25-Oct-16,42.06,42.23,41.93,42.00,3511163
24-Oct-16,42.69,42.79,41.87,42.05,4232843
21-Oct-16,42.25,42.82,42.18,42.66,2893889
20-Oct-16,43.16,43.22,42.41,42.54,2537495
19-Oct-16,42.92,43.71,42.81,43.33,4770601
18-Oct-16,42.92,42.97,42.57,42.83,3843262
17-Oct-16,42.55,42.77,42.40,42.63,1909405
