Date,Open,High,Low,Close,Volume
9-Dec-16,48.76,48.92,48.09,48.18,1428502
8-Dec-16,47.66,48.90,47.47,48.84,2228795
7-Dec-16,46.42,47.52,46.38,47.52,1346534
6-Dec-16,46.52,46.70,46.41,46.59,1186534
5-Dec-16,46.29,46.72,46.29,46.42,1516094
2-Dec-16,45.29,46.16,45.21,46.12,2293363
1-Dec-16,45.65,45.69,44.59,45.27,2830320
30-Nov-16,47.21,47.21,45.59,45.60,3016196
29-Nov-16,46.73,47.11,46.73,46.99,1565704
28-Nov-16,47.24,47.48,46.68,46.73,980337
25-Nov-16,47.50,47.52,46.93,47.46,582456
23-Nov-16,47.02,47.43,47.00,47.43,1311134
22-Nov-16,46.78,47.08,46.68,47.00,1308126
21-Nov-16,47.15,47.30,46.63,46.71,1637881
18-Nov-16,47.65,47.83,47.14,47.19,720113
17-Nov-16,47.25,47.85,47.06,47.75,2273495
16-Nov-16,47.04,47.28,46.79,47.18,1422292
15-Nov-16,46.76,47.18,46.61,47.09,1586260
14-Nov-16,47.05,47.80,46.30,46.63,4772474
11-Nov-16,46.73,47.02,46.47,46.77,2067215
10-Nov-16,46.96,48.03,46.61,46.94,2702564
9-Nov-16,45.51,46.93,45.00,46.76,3043805
8-Nov-16,45.93,46.35,45.58,46.19,1517527
7-Nov-16,45.55,46.30,45.39,45.97,1805259
4-Nov-16,45.64,45.71,44.93,44.95,1536843
3-Nov-16,45.39,45.70,45.18,45.45,1466010
2-Nov-16,45.55,45.80,45.23,45.27,2149601
1-Nov-16,45.78,46.15,45.26,45.58,2046130
31-Oct-16,45.62,45.96,45.39,45.63,1599684
28-Oct-16,44.39,45.68,44.37,45.43,2990404
27-Oct-16,45.25,45.74,44.20,44.47,5938586
26-Oct-16,42.19,43.54,42.01,43.51,4360174
25-Oct-16,43.05,43.07,42.25,42.45,3625284
24-Oct-16,43.67,43.82,42.99,43.13,3787626
21-Oct-16,43.23,43.89,42.85,43.34,2772178
20-Oct-16,44.07,44.59,43.58,43.59,1475363
19-Oct-16,44.30,44.70,43.82,44.23,4192761
18-Oct-16,45.26,45.94,44.13,44.21,3877644
17-Oct-16,44.71,44.90,44.51,44.72,614400
14-Oct-16,44.61,45.02,44.54,44.62,582125
13-Oct-16,44.04,44.48,43.34,44.31,1037230
12-Oct-16,44.64,44.78,44.47,44.52,668461
11-Oct-16,44.69,44.85,44.18,44.59,2514626
10-Oct-16,44.66,44.99,44.46,44.80,1478485
7-Oct-16,45.07,45.20,44.24,44.35,2199813
6-Oct-16,44.99,45.33,44.73,45.22,1045480
5-Oct-16,45.15,45.57,45.05,45.25,1302949
4-Oct-16,45.49,45.71,44.64,44.90,1219464
3-Oct-16,45.54,45.72,45.25,45.43,861666
30-Sep-16,46.03,46.46,45.52,45.82,1600844
29-Sep-16,46.35,46.56,45.69,45.72,1377921
28-Sep-16,46.38,46.70,46.09,46.52,1222285
27-Sep-16,46.51,46.79,46.16,46.27,1287529
26-Sep-16,46.45,46.95,46.24,46.67,1398370
23-Sep-16,46.12,46.80,45.92,46.58,1919278
22-Sep-16,46.54,46.78,46.06,46.26,1243517
21-Sep-16,46.43,46.51,45.56,46.16,1484727
20-Sep-16,46.43,46.81,46.21,46.28,717799
19-Sep-16,46.19,46.64,46.14,46.23,1008278
16-Sep-16,45.98,46.17,45.40,45.85,1554089
15-Sep-16,45.25,46.38,45.21,46.26,1443547
14-Sep-16,45.28,45.94,45.23,45.39,1624808
13-Sep-16,45.29,45.80,44.90,45.39,1613206
12-Sep-16,45.09,45.98,45.08,45.83,2284165
9-Sep-16,46.56,46.62,45.44,45.44,1807658
8-Sep-16,47.35,47.69,46.99,47.06,820667
7-Sep-16,46.86,47.61,46.86,47.50,1501033
6-Sep-16,48.69,48.87,47.45,47.45,1831791
