Date,Open,High,Low,Close,Volume
11-May-16,76.53,76.71,76.07,76.18,8678926
10-May-16,76.20,76.65,76.07,76.57,20168611
9-May-16,75.44,75.55,75.24,75.51,2209079
6-May-16,74.52,75.68,74.36,75.42,4458769
5-May-16,75.07,75.22,74.55,74.69,2515343
4-May-16,75.14,75.41,74.83,74.97,2433728
3-May-16,75.05,75.45,75.01,75.32,2600008
2-May-16,75.07,75.62,74.83,75.50,3105811
29-Apr-16,76.23,76.23,74.69,75.13,2829307
28-Apr-16,76.11,76.81,75.96,76.50,2830725
27-Apr-16,75.57,75.99,75.31,75.87,2209793
26-Apr-16,75.60,76.07,75.60,75.79,2291471
25-Apr-16,75.47,75.70,75.15,75.67,2001745
22-Apr-16,74.87,75.76,74.86,75.49,3204132
21-Apr-16,75.68,75.83,74.79,74.88,5092568
20-Apr-16,75.92,76.33,75.59,75.59,4803162
19-Apr-16,76.15,76.24,75.71,75.81,3695520
18-Apr-16,75.63,76.16,75.61,76.02,2100956
15-Apr-16,75.98,76.04,75.52,75.76,3294088
14-Apr-16,76.57,76.57,75.62,75.89,2852752
13-Apr-16,76.77,76.93,76.69,76.75,2227534
12-Apr-16,76.67,76.99,76.36,76.68,2069065
11-Apr-16,76.64,77.21,76.61,76.79,1843811
8-Apr-16,76.75,76.80,76.14,76.52,2407204
7-Apr-16,75.52,76.58,75.50,76.32,5230224
6-Apr-16,75.45,75.89,74.99,75.87,1286035
5-Apr-16,76.02,76.14,75.21,75.45,2450150
4-Apr-16,76.33,76.40,76.04,76.25,1108399
1-Apr-16,75.96,76.25,75.79,76.20,1709380
31-Mar-16,76.00,76.28,75.74,76.08,2026860
30-Mar-16,76.39,76.39,75.37,75.95,3973581
29-Mar-16,75.81,76.17,75.37,76.02,2266605
28-Mar-16,75.70,76.08,75.39,75.68,3014581
24-Mar-16,76.13,76.44,74.68,75.66,6619619
23-Mar-16,76.97,77.23,76.20,76.41,2473583
22-Mar-16,76.54,77.34,76.44,77.12,3178449
21-Mar-16,76.50,76.90,76.44,76.80,2975977
18-Mar-16,76.20,76.79,75.88,76.57,4735561
17-Mar-16,76.02,76.40,75.93,75.98,2800321
16-Mar-16,75.63,76.25,75.63,76.22,2918820
15-Mar-16,76.12,76.47,75.67,75.74,12464293
14-Mar-16,75.99,76.71,75.99,76.27,4705922
11-Mar-16,76.65,76.85,76.34,76.70,4494692
10-Mar-16,76.51,76.75,75.94,76.41,3771492
9-Mar-16,75.96,76.66,75.64,76.63,4550421
8-Mar-16,76.40,76.85,76.00,76.00,5160524
7-Mar-16,75.51,76.85,75.51,76.68,5880123
4-Mar-16,75.50,76.23,75.39,75.84,3644945
3-Mar-16,74.38,75.82,74.38,75.72,2565072
2-Mar-16,73.21,75.17,73.18,74.98,6585310
1-Mar-16,72.53,74.16,72.46,74.08,5312717
29-Feb-16,72.34,74.00,72.23,72.26,10252565
26-Feb-16,71.64,72.53,71.37,72.08,5254218
25-Feb-16,69.28,71.94,69.00,71.48,5455549
24-Feb-16,65.66,70.24,65.38,69.90,7151557
23-Feb-16,66.93,67.49,65.87,66.61,10153492
22-Feb-16,68.84,69.61,66.00,67.68,4526180
19-Feb-16,69.28,69.45,68.30,68.85,1386571
18-Feb-16,68.72,69.98,68.52,69.46,1413900
17-Feb-16,68.24,68.85,68.02,68.46,1740782
16-Feb-16,67.54,68.25,67.28,68.17,1866943
12-Feb-16,67.96,68.48,66.67,67.49,1812944
11-Feb-16,66.87,67.37,65.95,67.29,2367813
10-Feb-16,66.98,68.30,66.42,67.23,1702687
9-Feb-16,67.02,67.80,66.00,66.54,2298290
8-Feb-16,68.42,68.70,66.80,67.85,3447904
5-Feb-16,69.80,69.84,68.38,69.00,2303429
4-Feb-16,69.60,71.51,69.48,69.86,2650985
3-Feb-16,70.62,70.94,69.26,69.81,2466353
2-Feb-16,70.00,70.67,69.27,70.25,2058287
1-Feb-16,69.85,72.05,69.84,70.65,2565723
29-Jan-16,68.00,71.34,68.00,70.70,4690578
28-Jan-16,65.56,67.56,64.31,67.25,4310358
27-Jan-16,64.46,66.45,63.92,64.21,4410019
26-Jan-16,61.68,65.34,60.97,64.09,6291781
25-Jan-16,66.99,67.08,59.36,61.74,9780383
22-Jan-16,67.16,68.08,66.14,67.42,2954707
21-Jan-16,69.00,69.48,65.58,66.23,6303939
20-Jan-16,70.32,70.54,68.21,68.67,5662120
19-Jan-16,72.20,72.48,70.09,71.06,2981133
15-Jan-16,73.48,73.86,71.24,71.48,4616138
14-Jan-16,71.90,74.89,71.34,74.83,4935454
13-Jan-16,74.70,74.70,71.20,71.80,5344519
12-Jan-16,74.60,74.86,73.40,74.79,2877051
11-Jan-16,74.60,75.26,73.14,74.01,2570078
8-Jan-16,75.53,75.60,74.03,74.20,2928589
7-Jan-16,74.70,75.49,74.46,74.97,2278853
6-Jan-16,75.34,75.94,75.25,75.57,1684181
5-Jan-16,75.63,76.51,75.60,76.09,2142824
4-Jan-16,75.30,76.15,75.11,75.96,2300897
31-Dec-15,76.00,76.57,75.77,75.99,857907
30-Dec-15,76.00,76.71,75.87,76.07,1098539
29-Dec-15,75.45,76.08,75.37,75.97,1084918
28-Dec-15,75.10,75.35,74.62,75.31,873766
24-Dec-15,75.36,75.48,75.10,75.28,719506
23-Dec-15,74.86,75.39,74.33,75.26,1085048
22-Dec-15,74.77,74.82,74.21,74.67,1066555
21-Dec-15,74.73,74.82,73.90,74.54,1764500
18-Dec-15,74.18,75.38,73.88,73.89,4734391
17-Dec-15,75.64,76.05,74.83,74.83,1949000
16-Dec-15,75.80,76.13,75.16,75.60,1183037
15-Dec-15,75.74,76.23,75.40,75.67,2371779
14-Dec-15,74.76,75.44,74.43,75.33,1594045
