Date,Open,High,Low,Close,Volume
9-Dec-16,9.99,10.05,9.84,10.01,6888688
8-Dec-16,9.97,10.11,9.90,10.00,7894082
7-Dec-16,9.88,10.04,9.80,9.95,10773806
6-Dec-16,9.77,9.92,9.72,9.89,5619861
5-Dec-16,9.72,9.88,9.70,9.75,5459210
2-Dec-16,9.63,9.83,9.63,9.64,5542243
1-Dec-16,9.65,9.82,9.62,9.67,5546458
30-Nov-16,9.83,9.90,9.63,9.67,8889228
29-Nov-16,9.76,9.98,9.72,9.81,8753223
28-Nov-16,9.94,9.94,9.59,9.70,9321560
25-Nov-16,9.94,9.96,9.83,9.85,2935576
23-Nov-16,9.87,9.98,9.84,9.94,6465674
22-Nov-16,9.87,10.04,9.75,9.83,10628266
21-Nov-16,9.59,9.87,9.59,9.80,9218552
18-Nov-16,9.33,9.79,9.25,9.60,13897760
17-Nov-16,8.83,9.33,8.76,9.33,13909604
16-Nov-16,8.82,9.14,8.77,8.98,9813933
15-Nov-16,8.90,8.91,8.67,8.85,7977945
14-Nov-16,8.70,8.98,8.67,8.89,11402185
11-Nov-16,8.49,8.69,8.45,8.67,9876416
10-Nov-16,8.14,8.74,8.12,8.58,18253782
9-Nov-16,7.52,8.12,7.41,8.08,14124409
8-Nov-16,7.70,7.70,7.51,7.66,6920022
7-Nov-16,7.49,7.70,7.47,7.70,7506611
4-Nov-16,7.33,7.43,7.29,7.36,6501932
3-Nov-16,7.37,7.40,7.28,7.33,5215567
2-Nov-16,7.26,7.47,7.25,7.36,7701305
1-Nov-16,7.38,7.54,7.24,7.30,6116774
31-Oct-16,7.35,7.40,7.27,7.40,6510334
28-Oct-16,7.32,7.47,7.30,7.35,6321835
27-Oct-16,7.50,7.53,7.24,7.28,5147714
26-Oct-16,7.53,7.60,7.46,7.49,5047378
25-Oct-16,7.54,7.59,7.39,7.53,10467164
24-Oct-16,7.61,7.63,7.48,7.54,4258836
21-Oct-16,7.51,7.60,7.44,7.54,12016049
20-Oct-16,7.55,7.67,7.47,7.55,15169918
19-Oct-16,7.51,7.62,7.49,7.59,10394562
18-Oct-16,7.56,7.56,7.44,7.50,4777080
17-Oct-16,7.56,7.64,7.38,7.41,8753765
14-Oct-16,7.69,7.74,7.54,7.56,6804591
13-Oct-16,7.79,7.80,7.59,7.65,7105392
