Date,Open,High,Low,Close,Volume
9-Dec-16,39.40,40.14,36.50,39.38,4125494
8-Dec-16,40.29,40.37,39.14,39.23,3584324
7-Dec-16,39.76,40.36,38.90,40.27,7636382
6-Dec-16,39.03,39.49,39.00,39.15,3408928
5-Dec-16,37.40,39.63,37.40,39.16,3813200
2-Dec-16,38.30,39.02,38.05,38.87,4144608
1-Dec-16,40.73,40.97,38.03,38.11,5532711
30-Nov-16,39.63,40.26,39.56,40.10,3961930
29-Nov-16,39.41,40.27,39.33,39.50,3996239
28-Nov-16,38.91,39.52,38.52,39.37,3177685
25-Nov-16,38.90,39.24,38.45,39.07,1802333
23-Nov-16,38.68,39.09,38.38,38.82,2805721
22-Nov-16,39.95,40.10,38.91,38.96,4799845
21-Nov-16,39.32,39.93,39.11,39.82,2177737
18-Nov-16,39.20,39.48,38.50,39.29,2394385
17-Nov-16,38.40,39.30,38.35,39.23,4719184
16-Nov-16,38.17,38.74,38.07,38.26,2607373
15-Nov-16,38.14,38.60,37.81,38.51,3527102
14-Nov-16,37.15,38.44,37.15,38.00,5205752
11-Nov-16,35.87,37.32,35.61,37.25,4736554
10-Nov-16,35.00,36.63,34.92,36.17,6204126
9-Nov-16,33.40,35.32,32.58,34.76,6166980
8-Nov-16,34.43,34.77,33.86,34.49,2676833
7-Nov-16,33.56,34.80,33.47,34.65,4564570
4-Nov-16,32.96,33.67,32.80,33.00,3641374
3-Nov-16,32.64,33.28,32.45,33.08,3855880
2-Nov-16,33.67,33.85,32.62,32.65,5446241
1-Nov-16,34.37,34.63,33.06,33.71,4147084
31-Oct-16,34.39,34.65,34.27,34.31,3121404
28-Oct-16,34.22,34.80,34.03,34.15,3142923
27-Oct-16,35.35,35.78,34.21,34.24,6846022
26-Oct-16,34.16,35.10,34.10,34.84,5638805
25-Oct-16,35.04,35.04,34.15,34.27,4172327
24-Oct-16,34.70,34.82,34.48,34.52,2949576
21-Oct-16,34.80,35.00,34.13,34.50,4484120
20-Oct-16,34.49,35.28,34.40,34.98,5159227
19-Oct-16,34.95,35.30,33.54,34.32,10115441
18-Oct-16,35.34,35.62,34.82,35.34,5505109
17-Oct-16,35.23,35.57,34.65,35.01,4548281
14-Oct-16,35.36,36.01,34.97,35.16,5413491
13-Oct-16,34.76,35.53,33.58,35.18,7302333
12-Oct-16,35.51,36.00,35.15,35.23,5153129
11-Oct-16,38.22,38.22,34.83,35.10,14457875
10-Oct-16,38.14,38.56,37.66,37.97,4466576
7-Oct-16,37.93,38.25,37.58,37.89,3340221
6-Oct-16,38.21,38.31,37.47,37.81,4165294
5-Oct-16,38.39,38.91,38.03,38.54,2679674
4-Oct-16,38.61,38.99,38.05,38.24,3593579
3-Oct-16,38.56,39.33,38.20,38.41,3671026
30-Sep-16,37.94,38.84,37.94,38.55,3839954
29-Sep-16,38.12,38.86,37.41,37.79,4046487
28-Sep-16,38.71,39.04,37.64,38.21,4971532
27-Sep-16,37.02,38.53,37.00,38.42,6853033
26-Sep-16,36.37,37.42,36.18,37.20,5411656
23-Sep-16,36.17,36.85,36.17,36.46,2497642
22-Sep-16,36.76,37.10,36.36,36.40,2585414
21-Sep-16,35.40,36.72,35.40,36.69,3641139
20-Sep-16,36.17,36.21,35.33,35.53,2624883
19-Sep-16,36.28,36.50,35.50,35.95,4950122
16-Sep-16,37.32,37.32,36.11,36.40,8966569
15-Sep-16,36.13,36.64,36.03,36.45,4246882
14-Sep-16,36.09,36.63,35.46,36.07,4074408
13-Sep-16,36.05,36.50,35.47,36.14,4716852
12-Sep-16,35.83,36.70,35.06,36.55,6149656
