Date,Open,High,Low,Close,Volume
9-Dec-16,150.97,153.62,150.97,152.82,1575610
8-Dec-16,148.66,151.54,148.53,151.09,1262582
7-Dec-16,148.25,150.58,147.61,149.90,1650793
6-Dec-16,148.50,149.52,147.30,147.98,1573258
5-Dec-16,146.18,149.09,146.18,148.88,2010703
2-Dec-16,144.90,148.64,144.00,146.02,2641481
1-Dec-16,150.32,150.85,145.01,145.34,3604043
30-Nov-16,155.84,155.91,150.91,151.14,3313698
29-Nov-16,156.08,156.97,155.48,155.80,1338192
28-Nov-16,155.99,157.16,155.91,156.27,980892
25-Nov-16,154.55,156.52,154.00,156.42,593988
23-Nov-16,156.17,156.96,153.94,154.57,1300159
22-Nov-16,157.75,158.19,155.22,156.51,1430404
21-Nov-16,156.64,158.00,155.85,157.39,1742210
18-Nov-16,154.74,155.74,154.05,155.16,1875599
17-Nov-16,154.03,155.25,153.45,154.80,1516804
16-Nov-16,151.69,154.75,151.69,153.34,2000893
15-Nov-16,148.60,153.86,148.19,152.43,3453096
14-Nov-16,151.80,153.00,147.44,147.94,3434932
11-Nov-16,151.02,153.05,149.57,152.39,2771851
10-Nov-16,154.18,155.15,146.90,152.87,5944683
9-Nov-16,152.84,157.37,150.78,153.91,7633921
8-Nov-16,165.56,167.86,164.96,166.55,1466139
7-Nov-16,162.34,166.02,161.72,165.93,1937264
4-Nov-16,159.67,161.02,157.91,159.59,1634274
3-Nov-16,164.13,164.13,159.65,160.07,1781820
2-Nov-16,163.38,164.42,163.22,163.70,1364110
1-Nov-16,166.90,167.70,162.87,163.45,1566918
31-Oct-16,166.61,168.50,166.17,167.12,931383
28-Oct-16,165.73,167.62,165.34,166.02,2020990
27-Oct-16,167.13,167.59,165.60,165.63,585786
26-Oct-16,167.79,167.99,166.04,166.51,853998
25-Oct-16,169.07,169.09,167.97,168.14,834899
24-Oct-16,168.05,170.10,167.82,169.57,1039052
21-Oct-16,167.49,167.53,165.59,167.41,951332
20-Oct-16,168.16,168.16,166.45,166.97,1080427
19-Oct-16,167.30,167.83,166.13,167.35,991869
18-Oct-16,167.89,168.65,167.16,167.20,688955
17-Oct-16,170.00,170.40,166.69,167.13,1517220
