Date,Open,High,Low,Close,Volume
9-Dec-16,115.75,116.84,115.75,116.50,1040784
8-Dec-16,113.28,115.70,113.00,115.51,1405838
7-Dec-16,112.19,113.71,111.22,113.67,1352018
6-Dec-16,112.63,113.17,111.47,112.59,1236835
5-Dec-16,112.57,112.69,111.57,112.01,1324718
2-Dec-16,112.20,113.11,111.84,112.08,1211110
1-Dec-16,113.36,114.07,110.91,111.75,1322994
30-Nov-16,115.13,115.55,113.66,113.66,1844255
29-Nov-16,114.18,117.91,113.74,115.41,1873863
28-Nov-16,112.50,113.46,112.50,112.95,1323904
25-Nov-16,112.45,113.10,111.89,112.84,559305
23-Nov-16,110.18,111.85,110.00,111.75,1421432
22-Nov-16,110.10,111.05,108.29,110.70,2946034
21-Nov-16,111.43,112.56,111.04,111.47,1186623
18-Nov-16,110.57,111.51,110.21,111.44,1501538
17-Nov-16,109.32,111.33,108.56,110.65,1917603
16-Nov-16,109.75,110.06,108.38,109.39,1096447
15-Nov-16,107.35,110.70,107.13,109.74,2744160
14-Nov-16,110.33,110.79,106.48,106.68,3684229
11-Nov-16,113.37,113.98,110.08,110.36,2504584
10-Nov-16,117.28,117.28,112.17,114.03,4375044
9-Nov-16,119.78,121.62,113.30,116.24,3632399
8-Nov-16,119.61,121.84,119.01,120.85,1531908
7-Nov-16,118.60,120.40,118.52,119.68,1497175
4-Nov-16,116.00,117.50,115.78,117.15,1758775
3-Nov-16,115.84,116.35,115.40,115.65,1456597
2-Nov-16,114.93,116.76,114.51,115.50,1489986
1-Nov-16,115.99,116.63,114.13,114.79,1806700
31-Oct-16,113.60,115.59,111.35,115.35,2302115
28-Oct-16,111.52,117.96,110.60,114.27,3264765
27-Oct-16,110.50,110.62,109.31,109.72,1751572
26-Oct-16,112.26,112.47,109.84,109.89,2098708
25-Oct-16,114.77,114.82,113.08,113.19,1023626
24-Oct-16,114.40,115.20,114.21,114.73,674339
21-Oct-16,114.00,114.23,112.93,113.71,832666
20-Oct-16,114.43,114.87,113.81,114.55,613358
19-Oct-16,115.13,115.20,114.24,114.33,680985
18-Oct-16,114.52,115.09,113.49,114.81,677644
17-Oct-16,113.79,113.85,113.21,113.57,721669
14-Oct-16,116.18,116.18,113.61,113.65,1253605
13-Oct-16,113.37,113.90,112.52,113.58,892506
12-Oct-16,113.90,114.48,113.59,113.92,829157
11-Oct-16,117.59,117.68,113.14,113.73,1433448
10-Oct-16,116.90,118.08,116.67,117.85,755976
7-Oct-16,117.13,117.37,115.59,116.31,920067
6-Oct-16,116.59,117.14,115.93,116.65,781453
5-Oct-16,116.34,116.97,116.05,116.66,1152193
4-Oct-16,116.48,116.92,115.73,116.26,1074069
3-Oct-16,115.86,116.54,115.29,116.45,805103
30-Sep-16,116.31,116.91,115.97,116.41,1196878
29-Sep-16,116.89,117.22,115.11,115.70,662057
28-Sep-16,117.42,117.55,116.48,117.31,918566
27-Sep-16,116.64,117.80,116.08,117.80,1156223
26-Sep-16,117.18,117.48,115.96,116.21,1387044
23-Sep-16,118.06,118.20,116.98,117.76,1235114
22-Sep-16,116.82,118.90,116.38,118.44,1965328
21-Sep-16,114.68,116.56,114.67,116.44,1091204
20-Sep-16,115.10,115.29,114.54,114.60,990761
19-Sep-16,114.35,115.58,114.19,114.42,1133426
16-Sep-16,113.71,114.42,113.00,114.32,2436888
15-Sep-16,110.95,114.12,110.61,113.50,1994784
14-Sep-16,110.32,111.24,110.13,111.01,1361867
13-Sep-16,112.21,112.66,110.32,110.52,1064903
12-Sep-16,110.22,112.86,110.22,112.70,1740601
9-Sep-16,114.10,114.13,110.43,110.54,2486278
8-Sep-16,114.79,115.58,114.64,114.87,1372421
7-Sep-16,116.44,116.80,114.85,115.17,1202026
6-Sep-16,115.60,116.89,115.00,116.89,1144160
2-Sep-16,116.35,116.35,115.24,115.60,861899
1-Sep-16,115.90,115.90,114.41,115.23,939405
31-Aug-16,115.91,116.38,115.14,115.66,814928
30-Aug-16,116.11,116.69,115.44,115.94,874364
29-Aug-16,114.44,116.39,114.43,116.28,1668588
26-Aug-16,113.67,115.08,113.24,114.44,1142728
25-Aug-16,112.32,113.72,112.02,113.31,1203745
24-Aug-16,113.71,113.85,112.39,112.62,1051337
23-Aug-16,114.18,114.61,113.48,113.61,893915
22-Aug-16,113.85,114.40,113.62,114.14,727723
19-Aug-16,113.32,113.80,112.70,113.77,881320
18-Aug-16,113.02,113.88,112.55,113.75,919442
17-Aug-16,113.50,113.64,112.66,113.15,1101668
16-Aug-16,114.88,114.91,113.48,113.48,1052082
15-Aug-16,115.50,115.80,115.23,115.23,568638
12-Aug-16,115.36,115.57,114.80,115.57,621965
11-Aug-16,115.52,116.05,115.07,115.53,782267
10-Aug-16,115.49,115.59,114.85,115.53,615707
9-Aug-16,115.08,115.91,114.84,115.45,834469
8-Aug-16,114.99,115.07,114.07,114.82,1013387
5-Aug-16,115.04,115.33,114.30,114.90,988018
4-Aug-16,115.12,115.33,114.44,114.85,942412
3-Aug-16,115.88,115.97,114.54,114.82,1080183
2-Aug-16,116.75,116.87,115.28,115.70,1009620
1-Aug-16,116.29,117.65,116.22,117.02,1019408
29-Jul-16,114.97,116.62,114.97,116.28,1453717
28-Jul-16,114.85,116.16,114.39,114.96,1215899
27-Jul-16,116.18,116.36,114.45,114.83,1644210
26-Jul-16,115.80,116.68,115.30,116.44,1596171
25-Jul-16,116.82,117.45,114.96,115.93,2027484
22-Jul-16,118.25,118.94,115.78,117.03,4691917
21-Jul-16,122.21,122.64,121.67,122.56,1434051
20-Jul-16,122.30,122.65,121.77,122.36,1297449
19-Jul-16,121.47,122.43,121.42,121.76,1271557
18-Jul-16,122.26,123.00,120.95,121.62,1727429
15-Jul-16,122.97,123.55,121.29,122.08,2063493
14-Jul-16,123.28,123.41,122.19,122.30,1277737
13-Jul-16,123.20,123.37,122.16,122.51,1238605
12-Jul-16,122.93,123.21,122.18,122.82,1233434
11-Jul-16,122.52,123.10,122.30,122.65,885745
8-Jul-16,121.74,122.40,121.07,122.29,1283086
7-Jul-16,121.07,121.60,120.79,121.03,1216682
6-Jul-16,120.58,121.42,120.32,121.09,1499467
5-Jul-16,119.94,121.60,119.73,121.21,1123387
1-Jul-16,120.01,120.51,119.57,120.41,874726
30-Jun-16,118.85,119.83,118.41,119.83,1814583
29-Jun-16,117.02,118.87,116.89,118.81,1545252
28-Jun-16,115.25,116.17,114.79,115.96,1637386
27-Jun-16,115.86,116.49,114.30,114.78,1343341
24-Jun-16,114.87,117.92,114.41,116.59,4519256
23-Jun-16,117.37,118.65,117.12,118.38,1967348
22-Jun-16,116.74,117.27,116.46,116.62,1261209
21-Jun-16,116.51,116.92,115.87,116.46,1043825
20-Jun-16,115.55,116.99,115.50,116.09,1604069
17-Jun-16,114.70,115.16,113.30,114.38,1345354
16-Jun-16,114.03,114.84,113.22,114.62,865226
15-Jun-16,115.42,115.78,113.90,114.34,1034307
14-Jun-16,114.13,115.42,113.86,115.42,1453846
13-Jun-16,114.56,115.54,114.36,114.44,1200215
10-Jun-16,114.85,115.02,113.89,114.56,891763
9-Jun-16,114.38,115.90,113.86,115.33,1474709
8-Jun-16,112.50,114.31,112.39,114.29,1237588
7-Jun-16,113.53,113.60,112.57,112.59,1407360
6-Jun-16,113.42,114.11,113.34,113.53,1490583
3-Jun-16,112.37,113.62,111.85,113.56,1618505
2-Jun-16,111.80,112.67,111.29,112.66,1145836
1-Jun-16,111.29,111.82,110.46,111.66,1002833
31-May-16,111.35,111.95,110.58,111.16,2785481
27-May-16,111.59,112.10,111.26,111.77,696266
26-May-16,111.78,112.39,111.47,111.58,763686
25-May-16,111.85,112.44,111.68,111.87,1086317
24-May-16,110.60,111.87,110.40,111.67,979937
23-May-16,110.17,110.60,109.82,110.27,650429
20-May-16,110.17,110.75,109.80,110.25,1325847
19-May-16,109.23,109.61,108.62,109.49,804326
18-May-16,109.85,110.67,109.14,109.86,996312
17-May-16,112.05,112.42,109.76,110.14,1168515
16-May-16,110.86,112.69,110.83,112.35,1032011
13-May-16,111.91,112.01,110.41,110.91,1046397
12-May-16,111.52,112.31,110.85,111.82,1047292
11-May-16,111.81,112.37,111.37,111.48,1436662
10-May-16,111.38,111.91,111.11,111.75,1668747
9-May-16,111.13,112.23,111.12,111.32,960576
6-May-16,109.82,111.21,109.52,111.21,1749300
5-May-16,108.51,110.15,108.28,110.12,1707273
4-May-16,108.61,109.14,108.01,108.59,936586
3-May-16,109.47,109.77,108.79,109.17,848689
2-May-16,109.33,110.22,109.02,109.94,917305
29-Apr-16,106.71,109.46,106.71,109.01,1486875
28-Apr-16,109.55,110.49,109.25,109.56,1525972
27-Apr-16,110.32,111.00,109.13,110.04,1212185
26-Apr-16,109.54,110.11,108.96,109.51,1137165
25-Apr-16,109.33,109.62,108.85,109.49,995266
22-Apr-16,109.44,110.06,108.11,109.40,1837756
21-Apr-16,112.50,113.85,108.42,109.31,3236923
20-Apr-16,109.56,111.25,109.33,110.73,1967460
19-Apr-16,110.44,110.98,109.01,109.73,1388232
18-Apr-16,109.76,110.52,109.20,110.39,1039624
15-Apr-16,109.91,110.09,108.94,109.80,1586608
14-Apr-16,109.88,110.41,109.56,110.10,1045921
13-Apr-16,109.26,109.93,109.00,109.62,1469146
12-Apr-16,108.14,109.46,108.14,109.45,1283281
11-Apr-16,108.49,108.94,108.17,108.25,1910541
8-Apr-16,108.35,108.92,108.00,108.54,1227621
7-Apr-16,107.81,108.35,107.31,107.95,1334315
6-Apr-16,107.05,108.86,107.05,108.23,2075128
5-Apr-16,108.87,109.29,106.65,107.04,2634967
4-Apr-16,109.00,109.79,108.53,109.33,1235170
1-Apr-16,106.72,109.01,106.26,108.52,1748849
31-Mar-16,106.79,107.95,106.10,107.29,1450611
30-Mar-16,107.34,107.84,106.90,107.05,1010853
29-Mar-16,104.80,106.92,104.60,106.87,1013323
28-Mar-16,105.27,105.68,104.81,105.06,967139
24-Mar-16,105.67,105.90,104.34,105.22,1176833
23-Mar-16,104.89,105.94,104.70,105.59,1607241
22-Mar-16,104.78,105.37,104.37,104.94,1363637
21-Mar-16,104.69,105.13,103.95,104.86,1093411
18-Mar-16,103.85,105.12,102.87,104.95,2044915
17-Mar-16,105.20,105.26,103.17,103.30,1817665
16-Mar-16,104.01,105.59,104.01,105.20,1191973
15-Mar-16,104.26,104.99,104.13,104.85,1245263
14-Mar-16,104.86,105.50,104.18,105.19,1090817
11-Mar-16,104.54,105.02,103.98,105.00,1788600
10-Mar-16,103.49,104.10,102.31,103.75,1785489
9-Mar-16,102.88,103.54,102.71,103.12,1592681
8-Mar-16,101.68,103.17,98.00,102.78,2104579
7-Mar-16,102.68,103.00,102.33,102.84,1442558
4-Mar-16,102.54,104.00,102.54,103.45,1946813
3-Mar-16,102.00,103.00,101.14,102.90,1622331
2-Mar-16,100.99,101.65,100.41,101.52,1175079
1-Mar-16,100.40,101.18,99.42,100.92,1069759
29-Feb-16,101.04,101.28,99.83,99.88,1159086
26-Feb-16,102.08,102.69,101.09,101.36,1552816
25-Feb-16,99.50,101.95,99.49,101.80,1724667
