Date,Open,High,Low,Close,Volume
9-Dec-16,24.59,24.87,24.48,24.82,9532839
8-Dec-16,24.47,24.72,24.29,24.56,6483101
7-Dec-16,24.13,24.61,23.87,24.44,9827304
6-Dec-16,24.27,24.36,23.96,24.20,11043220
5-Dec-16,23.71,24.36,23.59,24.35,9095097
2-Dec-16,23.70,23.89,23.34,23.51,9204996
1-Dec-16,24.36,24.39,23.50,23.76,10151062
30-Nov-16,24.36,24.71,24.25,24.39,9629182
29-Nov-16,24.43,24.64,24.24,24.32,7357933
28-Nov-16,24.78,24.83,24.23,24.40,8095539
25-Nov-16,24.80,24.98,24.54,24.82,3645594
23-Nov-16,25.06,25.55,24.72,24.85,10960343
22-Nov-16,24.50,25.16,24.44,25.11,13273251
21-Nov-16,23.85,24.99,23.20,24.52,25801011
18-Nov-16,23.93,23.98,23.56,23.75,6648611
17-Nov-16,23.89,23.94,23.60,23.83,9184123
16-Nov-16,24.22,24.26,23.68,23.90,12912457
15-Nov-16,24.72,24.72,24.22,24.22,9144726
14-Nov-16,25.05,25.07,24.61,24.63,10882819
11-Nov-16,24.89,25.11,24.84,25.00,12335047
10-Nov-16,24.92,25.36,24.90,25.05,11951803
9-Nov-16,23.27,25.14,23.25,24.84,9624597
8-Nov-16,24.40,24.71,24.19,24.71,8529410
7-Nov-16,24.13,24.48,23.89,24.40,11673980
4-Nov-16,23.26,25.07,22.76,23.49,24774918
3-Nov-16,25.25,25.47,25.12,25.45,12643519
2-Nov-16,25.23,25.38,25.12,25.23,12137864
1-Nov-16,25.13,25.33,24.94,25.22,8693134
31-Oct-16,25.03,25.18,24.97,25.03,6056789
28-Oct-16,24.63,25.02,24.63,24.88,6069225
27-Oct-16,25.14,25.19,24.90,24.93,7365345
26-Oct-16,24.85,25.17,24.82,25.03,8319604
25-Oct-16,24.79,25.03,24.79,24.99,8325569
24-Oct-16,24.18,24.94,24.18,24.90,8597452
21-Oct-16,24.22,24.24,24.02,24.08,5837257
20-Oct-16,24.15,24.36,24.07,24.20,4183271
19-Oct-16,24.23,24.26,24.01,24.23,5389952
18-Oct-16,24.43,24.55,24.06,24.22,8454910
17-Oct-16,24.11,24.39,24.10,24.19,5654641
14-Oct-16,24.41,24.57,24.02,24.09,7901317
13-Oct-16,24.88,24.88,24.03,24.28,11881760
12-Oct-16,24.74,25.12,24.67,24.94,7724941
11-Oct-16,25.26,25.26,24.83,25.06,8884536
10-Oct-16,25.24,25.37,25.17,25.25,6630776
7-Oct-16,25.35,25.37,25.14,25.21,4135483
6-Oct-16,25.30,25.39,25.20,25.30,5872384
5-Oct-16,25.72,25.72,25.24,25.39,7580736
4-Oct-16,25.08,25.28,24.96,25.25,7202006
3-Oct-16,25.08,25.18,25.04,25.11,5223976
30-Sep-16,25.09,25.20,24.98,25.10,10888079
29-Sep-16,25.32,25.32,24.86,25.01,10029683
28-Sep-16,25.21,25.31,25.06,25.27,6164761
27-Sep-16,24.88,25.17,24.81,25.16,6917511
26-Sep-16,24.95,25.05,24.77,24.96,5737875
23-Sep-16,25.14,25.25,24.91,25.04,6764317
22-Sep-16,25.27,25.34,24.96,25.08,4599771
21-Sep-16,24.89,25.11,24.75,25.08,7489901
20-Sep-16,24.97,25.08,24.52,24.71,12873023
19-Sep-16,25.21,25.36,24.83,24.84,9480785
16-Sep-16,24.88,25.35,24.88,25.21,15882081
15-Sep-16,24.74,25.03,24.61,24.87,12576888
14-Sep-16,24.77,25.36,24.48,24.58,5866439
13-Sep-16,25.10,25.10,24.54,24.69,8780376
12-Sep-16,24.27,24.85,24.12,24.85,9883437
9-Sep-16,24.75,24.86,24.37,24.49,7107356
8-Sep-16,24.83,25.19,24.75,24.95,9480770
7-Sep-16,24.71,24.92,24.71,24.92,8123063
6-Sep-16,24.30,24.90,24.28,24.81,11780510
2-Sep-16,24.16,24.42,24.15,24.28,4329089
1-Sep-16,24.14,24.17,23.89,24.15,6159544
31-Aug-16,23.90,24.17,23.77,24.13,9406321
30-Aug-16,24.08,24.15,23.85,23.98,5266793
29-Aug-16,24.00,24.22,23.91,24.13,8469239
26-Aug-16,23.80,23.95,23.62,23.72,6717706
25-Aug-16,23.79,23.85,23.68,23.73,4449374
24-Aug-16,23.83,23.87,23.56,23.76,8966713
