Date,Open,High,Low,Close,Volume
9-Dec-16,28.73,28.80,28.34,28.60,1452035
8-Dec-16,27.89,29.07,27.72,28.75,2301422
7-Dec-16,27.39,27.94,27.04,27.89,2003899
6-Dec-16,27.20,27.56,26.87,27.41,2169345
5-Dec-16,26.66,27.33,26.50,27.23,2141131
2-Dec-16,26.32,26.77,26.27,26.45,2063759
1-Dec-16,26.91,26.91,26.37,26.42,2192188
30-Nov-16,27.42,27.49,26.85,26.85,1559353
29-Nov-16,27.48,27.52,27.11,27.20,1503081
28-Nov-16,27.23,27.63,27.23,27.54,2057656
25-Nov-16,27.39,27.45,27.14,27.35,376659
23-Nov-16,27.29,27.47,27.10,27.35,1192981
22-Nov-16,27.54,27.56,27.04,27.42,1346110
21-Nov-16,27.45,27.45,27.07,27.45,2379669
18-Nov-16,27.31,27.43,26.78,27.07,3221728
17-Nov-16,28.44,28.71,27.86,28.02,4007349
16-Nov-16,28.97,29.00,28.30,28.39,1679075
15-Nov-16,28.97,29.09,28.73,29.04,1576661
14-Nov-16,28.94,29.32,28.74,29.04,1354500
11-Nov-16,28.26,28.65,28.11,28.61,1352999
10-Nov-16,28.28,28.60,27.86,28.42,2192991
9-Nov-16,26.98,28.08,26.96,28.02,2618273
8-Nov-16,27.03,27.57,26.92,27.50,1325648
7-Nov-16,26.85,27.16,26.85,27.11,1521735
4-Nov-16,26.55,26.87,26.40,26.42,2671097
3-Nov-16,26.78,26.96,26.49,26.53,2410540
2-Nov-16,26.98,27.36,26.66,26.73,2563700
1-Nov-16,27.12,27.18,26.56,27.10,2802425
31-Oct-16,26.95,27.08,26.64,26.96,2296273
28-Oct-16,27.45,27.50,26.85,26.95,3510381
27-Oct-16,27.70,28.07,27.11,27.66,6605099
26-Oct-16,29.64,30.23,29.54,30.09,2572430
25-Oct-16,29.75,29.94,29.37,29.80,1417093
24-Oct-16,29.67,29.92,29.45,29.83,848673
21-Oct-16,29.38,29.56,29.24,29.34,1506705
20-Oct-16,29.94,30.19,29.57,29.69,1198668
19-Oct-16,29.63,30.20,29.55,30.09,991100
18-Oct-16,29.71,29.75,29.25,29.50,1276680
17-Oct-16,29.52,29.67,29.21,29.29,1025962
14-Oct-16,29.62,30.04,29.24,29.52,1590704
13-Oct-16,29.33,29.66,29.04,29.31,945705
12-Oct-16,29.68,30.05,29.46,30.00,1026129
11-Oct-16,30.39,30.49,29.63,29.79,1686755
10-Oct-16,30.50,30.76,30.50,30.63,930205
7-Oct-16,30.36,30.54,30.18,30.29,1301650
6-Oct-16,29.77,30.55,29.69,30.36,1326483
5-Oct-16,29.86,30.50,29.68,30.16,1787480
4-Oct-16,29.35,29.84,29.19,29.55,1671080
3-Oct-16,30.08,30.28,28.90,29.44,3640612
30-Sep-16,30.24,31.13,30.22,31.00,1864029
29-Sep-16,30.96,31.06,30.07,30.11,1461525
28-Sep-16,30.47,30.99,30.12,30.96,1313099
27-Sep-16,30.15,30.73,30.15,30.40,921033
26-Sep-16,30.50,30.75,30.39,30.48,856626
23-Sep-16,30.42,31.13,30.41,30.72,1302510
22-Sep-16,30.80,30.80,30.51,30.56,659163
21-Sep-16,30.16,30.41,29.97,30.34,1174526
20-Sep-16,30.30,30.46,29.87,29.88,920380
19-Sep-16,29.90,30.33,29.90,30.07,1120073
16-Sep-16,29.82,29.89,29.37,29.63,2333546
15-Sep-16,29.56,30.27,29.35,30.03,1322862
14-Sep-16,29.64,29.78,29.21,29.57,1435175
13-Sep-16,30.21,30.35,29.31,29.46,1559256
12-Sep-16,29.47,30.43,29.40,30.37,1756593
9-Sep-16,30.81,31.10,29.79,29.79,2078918
8-Sep-16,31.13,31.44,31.00,31.11,1441599
7-Sep-16,31.22,31.50,31.02,31.22,1647346
6-Sep-16,31.69,31.87,30.96,31.23,1857938
2-Sep-16,31.68,32.04,31.55,31.75,1314577
1-Sep-16,31.76,31.94,31.24,31.47,1789211
31-Aug-16,32.47,32.58,31.71,31.73,1859104
30-Aug-16,32.77,33.09,32.26,32.59,1426324
29-Aug-16,32.30,32.63,32.25,32.62,1868909
26-Aug-16,31.82,32.41,31.82,32.29,2121347
25-Aug-16,31.50,32.12,31.34,31.75,1474152
24-Aug-16,31.88,32.24,31.49,31.56,1492879
23-Aug-16,31.97,32.13,31.72,31.98,1466797
22-Aug-16,31.42,31.70,30.98,31.68,1449721
19-Aug-16,31.40,31.80,31.31,31.67,865168
18-Aug-16,31.32,31.67,31.32,31.54,1093956
17-Aug-16,31.24,31.45,31.09,31.35,1127355
16-Aug-16,31.60,31.74,31.37,31.43,1200770
15-Aug-16,31.40,31.98,31.40,31.80,1027186
12-Aug-16,31.50,31.52,31.11,31.36,1042677
11-Aug-16,31.33,31.82,31.27,31.54,2023572
10-Aug-16,31.76,31.90,31.23,31.27,2301614
9-Aug-16,31.99,31.99,31.54,31.62,1615144
8-Aug-16,31.62,31.90,31.45,31.90,1000001
5-Aug-16,31.44,31.94,31.29,31.55,3262562
4-Aug-16,30.86,31.37,30.68,31.26,3013879
3-Aug-16,29.36,30.71,29.36,30.65,4529959
2-Aug-16,29.00,29.83,28.82,29.42,5288857
1-Aug-16,28.40,28.45,28.08,28.39,2607180
29-Jul-16,28.65,28.65,27.97,28.38,2229543
28-Jul-16,28.49,28.75,28.30,28.69,868233
27-Jul-16,28.63,28.67,28.38,28.50,1177074
26-Jul-16,28.31,28.64,28.30,28.55,794125
25-Jul-16,28.14,28.42,28.04,28.31,963545
22-Jul-16,27.98,28.42,27.78,28.21,1138178
21-Jul-16,28.25,28.64,27.97,28.03,2004377
20-Jul-16,27.35,28.40,27.24,28.30,1798842
19-Jul-16,27.20,27.47,27.11,27.23,829444
18-Jul-16,27.16,27.52,27.13,27.35,887217
15-Jul-16,27.05,27.45,26.58,27.18,1765598
14-Jul-16,27.46,27.73,27.26,27.31,1488974
13-Jul-16,27.24,27.48,26.89,27.09,1315466
12-Jul-16,26.36,27.18,26.21,27.12,1581057
11-Jul-16,25.94,26.19,25.73,26.04,1164113
8-Jul-16,25.67,26.09,25.46,25.94,1122928
7-Jul-16,25.21,25.56,24.94,25.23,1522949
6-Jul-16,24.65,25.19,24.55,25.12,1846400
5-Jul-16,25.13,25.19,24.51,24.78,1813080
1-Jul-16,25.22,25.52,25.13,25.25,1749894
30-Jun-16,25.04,25.10,24.57,25.07,2064198
29-Jun-16,24.96,25.07,24.33,24.94,2444440
28-Jun-16,25.01,25.23,24.48,24.87,1633411
27-Jun-16,25.65,25.73,24.27,24.44,3246444
24-Jun-16,27.31,27.35,26.05,26.08,3543427
23-Jun-16,28.22,28.72,28.12,28.56,1376618
22-Jun-16,28.26,28.43,27.82,27.85,1115307
21-Jun-16,28.22,28.32,27.92,28.20,1223492
20-Jun-16,28.20,28.73,28.08,28.19,1912251
