Date,Open,High,Low,Close,Volume
9-Dec-16,26.51,26.51,25.76,25.84,2266717
8-Dec-16,25.64,26.59,25.60,26.25,6737519
7-Dec-16,25.24,25.70,25.18,25.52,13299339
6-Dec-16,24.67,25.23,24.51,24.97,3817685
5-Dec-16,24.23,24.40,24.10,24.27,1340444
2-Dec-16,23.54,23.96,23.45,23.94,1855971
1-Dec-16,24.45,24.45,23.39,23.43,2309937
30-Nov-16,24.65,24.80,24.37,24.38,1990873
29-Nov-16,24.95,24.97,24.52,24.59,1721855
28-Nov-16,24.92,25.12,24.86,24.95,1091492
25-Nov-16,24.90,25.18,24.84,25.16,489791
23-Nov-16,24.82,24.95,24.60,24.90,960043
22-Nov-16,24.90,24.99,24.62,24.71,1506780
21-Nov-16,24.93,24.95,24.52,24.73,1557665
18-Nov-16,24.59,24.84,24.52,24.73,2286997
17-Nov-16,24.52,24.77,24.38,24.68,1493078
16-Nov-16,24.22,24.50,24.20,24.47,1384445
15-Nov-16,24.12,24.38,24.01,24.28,1133167
14-Nov-16,23.97,24.25,23.90,24.03,1879225
11-Nov-16,23.49,23.87,23.26,23.82,2112466
10-Nov-16,23.67,23.95,23.11,23.40,2267578
9-Nov-16,23.03,23.65,23.00,23.55,2261405
8-Nov-16,23.30,23.70,23.16,23.44,3372983
7-Nov-16,23.07,23.46,23.07,23.34,1828920
4-Nov-16,22.90,23.18,22.68,22.83,2490424
3-Nov-16,22.96,23.08,22.84,22.97,1719498
2-Nov-16,23.25,23.44,22.93,22.97,2106383
1-Nov-16,23.30,23.63,23.01,23.23,3381297
31-Oct-16,23.26,23.44,23.14,23.29,2382083
28-Oct-16,23.09,23.68,22.99,23.08,3295447
27-Oct-16,23.33,23.35,22.31,22.82,4376218
26-Oct-16,21.78,22.10,21.78,22.02,1610419
25-Oct-16,21.92,22.15,21.70,21.93,1511253
24-Oct-16,21.69,22.13,21.63,21.98,1698082
21-Oct-16,20.22,21.45,20.22,21.41,1368629
20-Oct-16,21.34,21.44,21.09,21.29,1757118
19-Oct-16,21.22,21.58,21.14,21.43,1641202
18-Oct-16,21.41,21.41,21.11,21.26,924787
17-Oct-16,21.20,21.34,21.12,21.16,1474800
14-Oct-16,21.11,21.31,21.10,21.20,1829764
13-Oct-16,20.92,21.00,20.53,20.95,1449119
12-Oct-16,21.19,21.22,20.98,21.21,1226686
11-Oct-16,21.49,21.49,20.96,21.16,1877788
10-Oct-16,21.95,22.13,21.55,21.58,1042999
7-Oct-16,21.83,21.85,21.57,21.82,1229896
6-Oct-16,21.61,21.87,21.53,21.84,1008625
5-Oct-16,21.35,21.77,21.35,21.62,1816505
4-Oct-16,21.51,21.66,21.22,21.28,1159801
3-Oct-16,21.60,21.72,21.46,21.47,1495049
30-Sep-16,21.42,21.66,21.33,21.58,1586306
29-Sep-16,21.22,21.42,21.02,21.24,1164477
28-Sep-16,21.17,21.54,21.17,21.41,1260221
27-Sep-16,20.95,21.20,20.84,21.18,1066630
26-Sep-16,21.12,21.22,20.98,21.06,1410689
23-Sep-16,21.47,21.55,21.29,21.29,1034689
22-Sep-16,21.49,21.63,21.43,21.56,1193833
21-Sep-16,21.02,21.33,21.00,21.31,1207428
20-Sep-16,21.21,21.27,20.88,20.94,1250083
19-Sep-16,21.00,21.15,20.96,21.09,1177328
16-Sep-16,21.09,21.09,20.62,20.86,2163455
15-Sep-16,20.40,20.92,20.36,20.88,1338748
14-Sep-16,20.40,20.48,20.16,20.33,1196740
13-Sep-16,20.44,20.56,20.21,20.37,1457409
12-Sep-16,20.11,20.58,20.07,20.52,2628876
9-Sep-16,21.08,21.12,20.28,20.28,2024259
8-Sep-16,21.18,21.34,21.06,21.28,1277917
7-Sep-16,21.19,21.40,21.07,21.26,1465223
6-Sep-16,21.38,21.48,21.05,21.12,1217663
2-Sep-16,21.34,21.39,21.06,21.28,1174637
1-Sep-16,21.07,21.22,20.84,21.21,2012372
31-Aug-16,21.32,21.35,20.87,21.06,2547917
30-Aug-16,21.22,21.45,21.18,21.29,1819815
29-Aug-16,21.13,21.32,21.10,21.11,1563065
26-Aug-16,21.00,21.15,20.92,21.06,1137160
25-Aug-16,20.84,21.02,20.83,20.93,1190946
24-Aug-16,21.06,21.10,20.81,20.84,1428200
23-Aug-16,20.97,21.10,20.94,21.04,1762347
22-Aug-16,20.78,20.88,20.69,20.85,1227238
19-Aug-16,20.63,20.90,20.50,20.84,1457402
18-Aug-16,20.38,20.66,20.38,20.60,1027514
17-Aug-16,20.16,20.43,20.15,20.42,1281837
16-Aug-16,20.58,20.61,20.23,20.24,1016195
15-Aug-16,20.19,20.62,20.17,20.60,2147232
12-Aug-16,19.99,20.16,19.92,20.08,995356
11-Aug-16,19.99,20.07,19.94,20.01,1218415
10-Aug-16,19.95,19.98,19.74,19.89,1492758
9-Aug-16,20.16,20.34,19.87,19.88,2081845
8-Aug-16,20.11,20.12,19.93,20.07,1405411
5-Aug-16,19.75,20.16,19.73,20.13,1812025
4-Aug-16,19.49,19.74,19.49,19.67,1116221
3-Aug-16,19.43,19.63,19.43,19.51,1570592
2-Aug-16,19.73,19.90,19.46,19.48,1819889
1-Aug-16,19.78,19.84,19.69,19.75,2736325
29-Jul-16,19.95,20.20,19.45,19.75,4472630
28-Jul-16,19.74,21.33,19.74,20.45,7153247
