Date,Open,High,Low,Close,Volume
9-Dec-16,84.80,85.36,84.35,85.02,1343013
8-Dec-16,84.23,85.44,83.84,85.06,1540727
7-Dec-16,83.60,84.72,83.50,84.35,1388931
6-Dec-16,83.15,83.61,82.60,83.24,1192725
5-Dec-16,81.81,83.49,81.79,83.24,1774199
2-Dec-16,82.53,82.78,81.00,81.30,1389946
1-Dec-16,82.42,83.10,81.67,82.51,1812618
30-Nov-16,80.70,84.92,80.62,82.48,4315586
29-Nov-16,82.48,84.40,79.75,80.60,9411810
28-Nov-16,77.82,78.95,76.72,78.14,3153239
25-Nov-16,79.28,79.37,77.90,78.06,772640
23-Nov-16,76.94,79.61,76.85,79.18,3183073
22-Nov-16,77.21,77.27,76.04,76.88,2151801
21-Nov-16,76.73,77.51,76.43,76.76,934628
18-Nov-16,76.76,77.37,75.72,76.35,1195458
17-Nov-16,76.88,78.15,76.37,77.11,1398518
16-Nov-16,75.66,76.55,75.33,76.19,1657282
15-Nov-16,78.37,78.64,75.45,75.96,1903284
14-Nov-16,80.58,80.80,76.90,78.10,3463805
11-Nov-16,80.09,81.89,79.00,80.29,2306772
10-Nov-16,78.27,81.00,78.03,80.23,3079811
9-Nov-16,74.61,78.03,74.03,77.86,1507273
8-Nov-16,75.99,76.33,75.01,75.62,1065063
7-Nov-16,74.00,76.28,73.96,76.09,2234687
4-Nov-16,72.09,74.18,72.09,72.93,947191
3-Nov-16,72.81,73.45,71.86,72.04,1248223
2-Nov-16,72.41,73.32,72.18,72.45,949112
1-Nov-16,73.33,73.86,72.06,72.76,1042307
31-Oct-16,73.41,74.29,73.12,73.42,890413
28-Oct-16,72.71,73.81,72.62,73.21,536772
27-Oct-16,73.82,73.83,72.53,72.83,706370
26-Oct-16,72.99,74.32,72.98,73.55,865185
25-Oct-16,73.21,73.98,72.67,73.39,997001
24-Oct-16,73.80,74.06,73.32,73.89,1051131
21-Oct-16,72.44,73.84,72.44,73.37,685641
20-Oct-16,73.05,73.64,72.72,72.79,721310
19-Oct-16,72.35,73.32,71.85,73.25,577355
18-Oct-16,72.68,72.84,71.46,72.04,836438
17-Oct-16,72.71,72.88,71.68,71.90,980911
14-Oct-16,73.15,73.56,72.44,72.65,1079551
13-Oct-16,72.87,73.10,71.84,72.82,1099991
12-Oct-16,73.54,73.94,73.10,73.35,760061
11-Oct-16,73.56,74.80,73.09,73.47,1628743
10-Oct-16,73.74,74.59,73.56,73.87,1829951
7-Oct-16,72.92,73.54,72.47,73.35,1384667
6-Oct-16,72.60,73.10,71.57,73.00,1158777
5-Oct-16,71.64,72.93,71.21,72.80,1184442
4-Oct-16,71.94,71.94,70.86,71.09,1026070
3-Oct-16,72.44,72.72,71.61,71.71,1006760
30-Sep-16,71.94,73.10,71.94,72.63,1233266
29-Sep-16,71.22,72.56,71.12,71.37,1161421
28-Sep-16,71.79,71.90,70.55,71.20,993147
27-Sep-16,71.50,72.07,71.20,71.65,1152172
26-Sep-16,72.40,72.40,71.10,71.35,984736
23-Sep-16,72.16,73.09,72.16,72.69,809071
22-Sep-16,72.92,73.40,72.37,72.81,829638
21-Sep-16,71.73,72.34,71.29,72.27,734115
20-Sep-16,72.04,72.29,71.40,71.53,1355116
19-Sep-16,72.76,72.97,71.48,71.77,1901127
16-Sep-16,71.91,72.87,71.90,72.76,3224846
