Date,Open,High,Low,Close,Volume
9-Dec-16,73.87,73.99,73.28,73.69,524345
8-Dec-16,73.48,74.33,73.36,74.00,502712
7-Dec-16,72.56,73.35,72.14,73.29,682084
6-Dec-16,71.69,72.40,71.23,72.29,603492
5-Dec-16,71.62,71.74,71.05,71.53,610586
2-Dec-16,71.31,71.45,70.59,70.98,441864
1-Dec-16,70.57,71.41,70.48,71.36,532359
30-Nov-16,70.28,70.50,69.91,70.09,767566
29-Nov-16,69.89,70.18,69.59,69.67,660198
28-Nov-16,70.77,70.98,69.55,69.59,865352
25-Nov-16,70.95,71.10,70.65,71.10,144578
23-Nov-16,70.85,71.07,70.50,70.92,599042
22-Nov-16,70.51,70.75,70.11,70.67,448773
21-Nov-16,70.37,70.41,69.67,70.38,370835
18-Nov-16,69.45,70.45,69.32,70.06,842354
17-Nov-16,69.15,70.32,69.15,70.16,487001
16-Nov-16,69.64,70.07,69.14,69.20,553754
15-Nov-16,70.50,70.68,69.68,69.99,779702
14-Nov-16,70.70,71.49,70.44,70.81,596496
11-Nov-16,69.46,70.17,69.09,70.02,607512
10-Nov-16,70.22,70.22,68.35,69.59,887197
9-Nov-16,66.11,68.05,65.66,67.54,1013693
8-Nov-16,64.81,65.70,64.61,65.43,390330
7-Nov-16,64.68,65.05,64.56,64.90,537786
4-Nov-16,63.84,64.05,63.37,63.65,513244
3-Nov-16,63.43,63.97,63.29,63.81,413072
2-Nov-16,63.16,63.57,63.09,63.31,414401
1-Nov-16,63.72,63.72,62.86,63.33,536598
31-Oct-16,63.71,64.19,63.39,63.41,907038
28-Oct-16,63.50,63.95,62.96,63.37,493658
27-Oct-16,63.90,63.90,63.08,63.34,643908
26-Oct-16,63.77,64.09,63.11,63.17,369317
25-Oct-16,63.64,63.72,63.04,63.19,456336
24-Oct-16,63.82,63.98,63.56,63.66,281822
21-Oct-16,63.41,63.65,63.16,63.48,265990
20-Oct-16,64.17,64.31,63.75,63.89,234183
19-Oct-16,64.50,64.81,64.40,64.42,343308
18-Oct-16,64.43,64.55,64.09,64.31,448771
17-Oct-16,63.88,64.14,63.68,63.73,438588
14-Oct-16,64.09,64.34,63.64,63.74,651059
13-Oct-16,63.87,63.87,63.26,63.62,395293
12-Oct-16,64.32,64.59,64.15,64.39,576853
11-Oct-16,64.57,65.00,63.97,64.21,474303
10-Oct-16,64.84,65.04,64.54,64.82,387632
7-Oct-16,64.40,64.53,63.90,64.38,370193
6-Oct-16,64.90,64.98,64.33,64.38,591055
5-Oct-16,64.03,64.88,63.98,64.72,632135
4-Oct-16,63.82,64.30,63.74,63.90,416785
3-Oct-16,63.64,64.06,63.53,63.77,477247
30-Sep-16,63.58,64.20,63.36,63.89,585430
29-Sep-16,63.82,64.05,62.97,63.23,374679
28-Sep-16,63.52,63.97,63.15,63.93,381442
27-Sep-16,63.06,63.54,62.96,63.48,477765
26-Sep-16,63.52,63.63,63.04,63.20,417601
23-Sep-16,63.95,64.80,63.84,63.85,523174
22-Sep-16,65.53,65.60,64.77,64.86,425807
21-Sep-16,64.76,65.28,64.57,65.21,316365
20-Sep-16,64.42,64.52,63.98,64.37,429104
19-Sep-16,64.08,64.55,63.94,64.07,490929
16-Sep-16,64.43,64.43,63.72,63.84,884420
15-Sep-16,64.40,64.99,64.35,64.75,455378
14-Sep-16,64.51,64.83,64.25,64.44,392995
13-Sep-16,64.14,64.88,63.97,64.42,579371
12-Sep-16,63.95,64.87,63.81,64.71,769181
9-Sep-16,64.33,65.20,64.30,64.37,643791
8-Sep-16,64.96,65.09,64.75,64.85,334234
7-Sep-16,64.89,65.10,64.57,64.84,451828
6-Sep-16,65.04,65.20,64.82,65.05,368030
