Date,Open,High,Low,Close,Volume
9-Dec-16,48.05,48.90,48.05,48.39,1682306
8-Dec-16,48.59,49.15,47.74,47.92,1229591
7-Dec-16,47.51,48.50,47.42,48.44,1229877
6-Dec-16,47.15,47.73,46.92,47.66,1105068
5-Dec-16,47.96,48.36,47.12,47.36,1631459
2-Dec-16,47.93,48.39,47.31,47.49,2668813
1-Dec-16,46.37,47.88,46.36,47.88,2736549
30-Nov-16,46.14,46.28,45.99,46.03,1422430
29-Nov-16,45.63,46.15,45.46,45.98,1183112
28-Nov-16,45.70,45.85,45.23,45.70,1425865
25-Nov-16,45.83,45.95,45.45,45.95,643085
23-Nov-16,45.29,45.87,45.09,45.78,1059112
22-Nov-16,44.75,45.29,44.66,45.21,968520
21-Nov-16,44.29,44.59,44.20,44.56,1425649
18-Nov-16,44.39,44.40,44.17,44.24,841145
17-Nov-16,44.74,44.90,44.52,44.57,944339
16-Nov-16,44.88,45.22,44.59,44.62,1023329
15-Nov-16,45.03,45.21,44.48,45.13,1354637
14-Nov-16,44.75,45.85,44.71,45.14,2512401
11-Nov-16,43.80,44.76,43.41,44.71,2353636
10-Nov-16,43.20,44.60,43.20,44.08,2720877
9-Nov-16,40.19,43.09,40.16,42.88,3138635
8-Nov-16,40.61,41.07,40.51,40.73,1342091
7-Nov-16,39.90,40.76,39.85,40.75,1878632
4-Nov-16,39.05,39.52,39.01,39.08,866248
3-Nov-16,39.12,39.23,38.79,39.02,1030249
2-Nov-16,39.54,39.78,38.98,39.00,1030587
1-Nov-16,40.21,40.33,39.31,39.55,1136913
31-Oct-16,39.98,40.29,39.84,40.08,1101095
28-Oct-16,39.62,40.36,39.50,39.81,1100748
27-Oct-16,40.00,40.03,39.51,39.57,1297217
26-Oct-16,38.98,39.98,38.87,39.85,1826810
25-Oct-16,39.04,39.40,38.94,39.13,1297319
24-Oct-16,39.25,39.63,39.02,39.03,1387672
21-Oct-16,38.99,39.15,38.67,38.91,1833642
20-Oct-16,37.31,39.91,37.19,39.49,2798039
19-Oct-16,38.25,38.55,37.96,38.09,2359890
18-Oct-16,38.22,38.37,37.97,38.09,1813986
17-Oct-16,37.82,37.98,37.75,37.82,628937
14-Oct-16,38.13,38.25,37.66,37.77,1303325
13-Oct-16,37.72,38.02,37.55,37.95,974786
12-Oct-16,37.88,38.17,37.88,37.97,1078880
11-Oct-16,38.66,38.76,37.72,37.90,1209855
10-Oct-16,38.70,39.06,38.63,38.86,831996
7-Oct-16,37.68,38.63,37.19,38.49,3175880
6-Oct-16,39.76,39.99,39.62,39.91,989318
5-Oct-16,39.38,39.64,39.29,39.60,1338040
4-Oct-16,40.02,40.15,39.16,39.21,838651
3-Oct-16,39.45,40.03,39.45,39.88,790551
30-Sep-16,39.73,39.90,39.56,39.75,1282046
29-Sep-16,40.18,40.25,39.43,39.50,839879
28-Sep-16,39.67,40.22,39.56,40.18,845302
27-Sep-16,39.13,39.61,38.99,39.59,745321
26-Sep-16,39.34,39.56,39.10,39.20,561802
23-Sep-16,39.58,39.78,39.42,39.45,656859
22-Sep-16,39.59,39.86,39.37,39.72,854178
21-Sep-16,39.13,39.32,38.83,39.28,852756
20-Sep-16,39.33,39.41,38.88,38.91,1083237
19-Sep-16,39.17,39.44,38.96,39.09,566089
16-Sep-16,39.18,39.36,38.86,38.91,1458039
15-Sep-16,38.96,39.47,38.85,39.38,1318512
14-Sep-16,39.83,39.92,38.81,38.97,1987771
13-Sep-16,40.04,40.22,39.60,39.78,1052273
12-Sep-16,39.51,40.55,39.48,40.42,1380912
9-Sep-16,40.41,40.55,39.82,39.83,1179330
8-Sep-16,40.61,41.00,40.48,40.82,1031413
7-Sep-16,40.54,40.89,40.44,40.81,857175
6-Sep-16,41.11,41.23,40.57,40.71,1062558
2-Sep-16,41.04,41.26,40.88,41.12,928631
1-Sep-16,40.88,40.91,40.25,40.81,1378260
31-Aug-16,41.19,41.20,40.65,40.85,1466389
30-Aug-16,41.18,41.33,41.05,41.24,834088
29-Aug-16,40.93,41.30,40.88,41.21,1482172
26-Aug-16,40.93,41.15,40.64,40.94,1005957
25-Aug-16,40.96,40.97,40.68,40.87,2048813
24-Aug-16,40.90,41.20,40.78,41.00,1994159
23-Aug-16,40.91,41.16,40.80,41.00,1054968
22-Aug-16,40.51,40.90,40.23,40.78,727407
19-Aug-16,40.41,40.67,40.28,40.66,613260
18-Aug-16,40.40,40.65,40.38,40.54,668075
17-Aug-16,40.26,40.48,40.05,40.41,1176378
16-Aug-16,40.04,40.42,39.74,40.20,1160274
15-Aug-16,39.27,40.32,39.10,40.31,1374499
12-Aug-16,39.29,39.38,39.01,39.21,518401
11-Aug-16,39.18,39.48,39.18,39.39,490055
10-Aug-16,39.18,39.18,38.77,39.12,785638
9-Aug-16,39.08,39.34,38.93,39.15,566898
8-Aug-16,39.09,39.33,39.01,39.11,525689
5-Aug-16,38.70,39.03,38.51,39.01,854835
4-Aug-16,38.74,38.89,38.50,38.57,692349
3-Aug-16,38.20,38.81,38.20,38.72,733573
2-Aug-16,38.58,38.62,38.04,38.21,1019812
1-Aug-16,38.92,39.08,38.50,38.67,1091296
29-Jul-16,39.13,39.13,38.59,39.00,871067
28-Jul-16,39.15,39.29,38.82,39.20,983567
27-Jul-16,39.52,39.52,39.13,39.27,1656808
26-Jul-16,39.25,39.64,39.25,39.56,1229360
25-Jul-16,39.64,39.72,39.01,39.15,1763578
22-Jul-16,39.45,40.00,38.95,39.82,2582941
21-Jul-16,39.28,39.60,39.03,39.21,1730345
20-Jul-16,38.62,39.36,38.60,39.27,1136536
19-Jul-16,38.82,39.28,38.58,38.71,932445
18-Jul-16,38.68,39.03,38.41,38.99,1479523
15-Jul-16,38.74,38.99,38.44,38.75,1470428
14-Jul-16,38.89,39.01,38.49,38.57,1423522
13-Jul-16,38.50,38.57,38.12,38.37,819307
12-Jul-16,38.60,38.77,38.05,38.36,1394465
11-Jul-16,37.05,38.61,36.85,38.24,4190392
8-Jul-16,36.37,37.00,36.33,36.99,1971267
7-Jul-16,35.87,36.11,35.40,35.71,1768313
6-Jul-16,35.69,35.80,35.06,35.77,1998367
5-Jul-16,36.25,36.42,35.58,35.72,1892417
1-Jul-16,36.93,36.96,36.27,36.38,1946814
30-Jun-16,35.19,36.56,35.19,36.56,2444770
29-Jun-16,34.89,35.23,34.00,35.03,3436335
28-Jun-16,34.64,35.03,34.28,34.52,2893165
27-Jun-16,35.48,35.48,34.03,34.32,2711376
24-Jun-16,36.92,37.20,35.84,35.91,2773848
23-Jun-16,38.41,38.58,37.92,38.42,1653584
22-Jun-16,38.55,38.78,38.30,38.32,869221
21-Jun-16,38.85,38.88,38.52,38.53,1113345
20-Jun-16,38.72,39.26,38.64,38.85,1006357
17-Jun-16,38.23,38.50,37.99,38.24,1486382
16-Jun-16,37.90,38.27,37.48,38.16,1233114
15-Jun-16,37.73,38.35,37.50,38.08,1456323
14-Jun-16,37.87,37.99,37.35,37.57,1406027
13-Jun-16,38.55,38.71,37.98,38.00,1129520
10-Jun-16,39.00,39.13,38.62,38.75,1064294
9-Jun-16,39.63,39.65,39.16,39.37,1201401
8-Jun-16,39.95,40.20,39.72,39.79,1279057
7-Jun-16,40.25,40.53,39.94,39.95,1279762
6-Jun-16,39.96,40.20,39.10,40.14,2543718
3-Jun-16,38.46,40.02,38.02,39.96,6527449
2-Jun-16,38.13,38.51,37.87,38.51,1025950
1-Jun-16,37.78,38.30,37.49,38.19,776283
31-May-16,38.38,38.50,37.83,38.06,1445911
27-May-16,38.25,38.33,38.03,38.24,897206
26-May-16,38.51,38.74,38.14,38.25,1134762
25-May-16,38.37,38.62,38.23,38.46,1338165
24-May-16,37.83,38.42,37.83,38.28,1105796
23-May-16,37.87,37.99,37.47,37.66,1647061
20-May-16,37.77,38.23,37.66,37.92,1094303
19-May-16,37.90,37.96,37.29,37.53,916686
18-May-16,38.17,38.51,37.93,38.19,1135962
17-May-16,38.00,38.70,37.90,38.27,1574270
16-May-16,37.46,38.22,37.45,38.05,973548
13-May-16,37.83,38.04,37.24,37.35,1185216
12-May-16,38.30,38.52,37.38,37.86,2682893
11-May-16,38.36,38.60,37.99,38.15,2171106
10-May-16,38.33,38.72,38.27,38.32,1868299
9-May-16,38.11,38.35,38.00,38.05,1497082
6-May-16,38.07,38.61,38.01,38.23,2063682
5-May-16,38.24,38.30,37.80,38.19,1834120
4-May-16,38.47,38.63,37.92,38.05,1563665
3-May-16,38.54,38.76,38.19,38.67,1160023
2-May-16,38.79,39.15,38.43,39.01,1338660
29-Apr-16,39.10,39.16,38.51,38.68,1815078
28-Apr-16,39.61,39.93,39.19,39.30,1243813
27-Apr-16,39.84,40.04,39.54,39.88,1429615
26-Apr-16,39.05,39.77,38.98,39.75,1439090
25-Apr-16,39.62,39.77,38.94,38.99,1880543
22-Apr-16,39.67,39.85,39.31,39.78,1901600
21-Apr-16,39.79,40.12,39.32,39.55,3447145
20-Apr-16,40.14,40.61,38.32,39.91,5676913
19-Apr-16,38.07,38.24,37.64,38.05,3539883
18-Apr-16,37.55,38.08,37.30,37.93,2346069
15-Apr-16,38.04,38.16,37.66,37.75,1979473
14-Apr-16,38.22,38.22,37.64,37.96,2202211
13-Apr-16,37.49,38.26,37.44,38.06,1888988
12-Apr-16,36.88,37.32,36.78,37.15,1261772
11-Apr-16,36.98,37.34,36.76,36.82,1392344
8-Apr-16,37.24,37.24,36.44,36.68,1785873
7-Apr-16,36.74,37.02,36.49,36.87,3123788
6-Apr-16,36.38,37.00,36.17,36.91,1764915
5-Apr-16,36.31,36.60,36.12,36.40,3189302
4-Apr-16,36.69,36.86,36.29,36.60,2027772
1-Apr-16,36.00,36.80,36.00,36.69,2177954
31-Mar-16,36.34,36.50,36.00,36.46,1870823
30-Mar-16,36.55,36.64,35.90,36.32,2806711
29-Mar-16,35.82,36.25,35.56,36.15,2369417
28-Mar-16,36.15,36.27,35.84,36.03,2838333
24-Mar-16,36.25,36.34,35.44,36.16,3498869
23-Mar-16,36.41,36.72,36.25,36.59,2566672
22-Mar-16,36.00,36.70,35.63,36.61,2388399
21-Mar-16,35.89,36.41,35.88,36.36,2320470
18-Mar-16,35.15,36.20,35.15,36.17,4402557
17-Mar-16,34.30,35.14,34.15,34.97,2265021
16-Mar-16,33.44,34.33,33.39,34.22,1839647
15-Mar-16,33.40,33.65,33.13,33.51,1465863
14-Mar-16,33.66,34.07,33.61,33.85,1653411
11-Mar-16,33.03,33.98,33.00,33.90,2260554
10-Mar-16,33.18,33.31,32.79,32.96,2481665
9-Mar-16,32.67,33.46,32.55,33.16,3058449
8-Mar-16,32.59,32.84,32.06,32.51,2288498
7-Mar-16,32.93,33.54,32.82,32.92,3915125
4-Mar-16,32.85,33.50,32.73,33.00,8032308
3-Mar-16,34.17,34.24,33.62,33.64,3898567
2-Mar-16,34.49,34.98,34.07,34.17,3005415
1-Mar-16,34.58,34.85,34.26,34.50,3886429
29-Feb-16,34.65,34.75,34.14,34.15,1661394
26-Feb-16,34.69,34.96,34.40,34.55,2936232
25-Feb-16,34.03,34.54,33.92,34.51,1534444
24-Feb-16,33.36,34.02,33.12,34.00,1454812
23-Feb-16,33.87,34.15,33.60,33.89,1770529
22-Feb-16,33.70,34.26,33.64,34.16,1639196
19-Feb-16,33.61,33.71,33.20,33.28,2072141
18-Feb-16,33.18,33.94,32.75,33.75,3048500
17-Feb-16,33.25,33.66,33.00,33.30,1953577
16-Feb-16,32.56,32.97,32.17,32.84,1640264
12-Feb-16,31.32,32.20,31.04,32.08,2321424
11-Feb-16,31.72,32.14,30.68,31.11,3326156
10-Feb-16,32.06,32.71,31.91,32.00,2397614
9-Feb-16,31.90,32.82,31.63,32.03,2683957
8-Feb-16,31.84,32.65,31.68,32.48,3847445
5-Feb-16,32.18,32.68,31.90,32.30,2414489
4-Feb-16,32.30,33.24,32.18,32.30,2955170
3-Feb-16,32.10,32.49,30.94,32.28,3911508
2-Feb-16,32.70,32.79,31.52,31.76,4948590
1-Feb-16,33.87,33.94,33.06,33.19,3918041
29-Jan-16,33.60,34.64,33.60,34.22,4391526
28-Jan-16,32.82,34.20,32.43,33.59,5747999
27-Jan-16,33.82,35.40,32.47,32.69,10568505
26-Jan-16,36.98,37.81,36.88,37.73,2376719
25-Jan-16,37.40,37.48,36.75,36.83,2367659
22-Jan-16,37.00,37.46,36.77,37.45,1782315
21-Jan-16,36.49,37.05,36.22,36.51,1599429
20-Jan-16,36.34,36.56,34.72,36.36,4544318
19-Jan-16,37.88,37.88,36.60,36.80,2697633
15-Jan-16,36.92,37.49,36.88,37.35,3112595
14-Jan-16,38.00,38.40,36.99,37.96,2074359
13-Jan-16,39.29,39.34,37.90,37.95,1655377
12-Jan-16,39.25,39.30,38.50,39.08,2636649
11-Jan-16,39.19,39.26,38.50,38.89,2132753
8-Jan-16,39.68,39.94,38.99,39.07,3436008
7-Jan-16,39.38,40.14,39.32,39.52,2192941
6-Jan-16,40.92,41.03,39.94,40.35,2258047
5-Jan-16,41.50,41.74,41.02,41.60,1514403
4-Jan-16,41.34,41.52,40.79,41.50,1655111
31-Dec-15,42.31,42.38,41.89,42.01,1021732
30-Dec-15,42.83,43.08,42.01,42.45,1172929
29-Dec-15,42.81,43.31,42.55,42.98,1280151
28-Dec-15,42.59,42.67,42.26,42.56,1067211
24-Dec-15,42.66,42.81,42.55,42.69,528018
23-Dec-15,42.33,42.84,42.10,42.78,1323407
22-Dec-15,41.63,42.19,41.34,42.07,944926
21-Dec-15,41.24,41.92,41.03,41.31,1704424
18-Dec-15,41.08,41.35,40.93,41.01,2360746
17-Dec-15,42.60,42.60,41.42,41.42,1379728
16-Dec-15,42.28,42.80,41.72,42.61,1560969
15-Dec-15,41.59,41.85,41.25,41.37,1428568
14-Dec-15,40.82,41.34,40.45,41.25,2478003
