Date,Open,High,Low,Close,Volume
9-Dec-16,118.91,119.79,118.44,119.60,3197190
8-Dec-16,119.00,119.27,118.15,118.98,2157804
7-Dec-16,116.27,118.79,116.27,118.62,2539285
6-Dec-16,116.50,116.72,116.03,116.54,1755431
5-Dec-16,116.91,116.95,116.36,116.56,2310045
2-Dec-16,116.69,117.01,116.00,116.35,2088702
1-Dec-16,116.04,116.76,115.88,116.43,2485151
30-Nov-16,116.46,116.96,115.92,115.92,3353581
29-Nov-16,115.94,116.48,115.77,116.28,2772397
28-Nov-16,116.26,116.47,115.45,115.69,2659127
25-Nov-16,115.79,116.39,115.77,116.26,1077554
23-Nov-16,114.85,115.75,114.85,115.68,1855393
22-Nov-16,114.94,115.00,114.40,114.63,1987335
21-Nov-16,114.09,114.73,113.62,114.70,1942542
18-Nov-16,113.73,114.31,113.25,114.09,1992446
17-Nov-16,112.92,113.56,112.51,113.49,1619568
16-Nov-16,113.18,113.39,112.36,112.81,2297778
15-Nov-16,113.02,113.33,112.14,113.18,3690837
14-Nov-16,114.51,114.75,112.84,112.91,3396763
11-Nov-16,113.13,114.31,113.00,114.23,3092636
10-Nov-16,112.91,114.11,112.82,113.31,4532625
9-Nov-16,110.33,112.70,110.24,112.70,6744015
8-Nov-16,109.61,112.88,109.51,112.03,5834296
7-Nov-16,107.96,109.80,107.96,109.80,3615393
4-Nov-16,107.39,108.04,106.89,106.94,2559261
3-Nov-16,107.22,108.17,106.68,107.48,2245496
2-Nov-16,106.92,107.42,106.60,106.90,2568876
1-Nov-16,108.02,108.03,106.16,106.84,2906926
31-Oct-16,108.08,108.20,107.53,107.76,2328694
28-Oct-16,108.30,108.46,106.99,107.70,2397464
27-Oct-16,109.25,109.25,105.87,108.08,3532013
26-Oct-16,107.60,109.04,107.59,108.61,3310138
25-Oct-16,108.41,108.73,107.78,107.84,2242501
24-Oct-16,107.82,108.52,107.75,108.45,1808339
21-Oct-16,106.74,107.22,106.39,107.16,2816357
20-Oct-16,107.91,107.91,107.19,107.40,1946090
19-Oct-16,108.23,108.53,107.80,108.05,1991415
18-Oct-16,108.45,108.97,108.05,108.13,1692297
17-Oct-16,108.31,108.77,107.91,108.03,1759914
14-Oct-16,108.71,109.06,108.41,108.42,1565980
13-Oct-16,108.19,108.72,107.36,108.30,2089400
12-Oct-16,109.03,109.06,108.44,108.74,1484095
11-Oct-16,108.90,109.43,108.30,108.70,1944414
10-Oct-16,109.28,109.61,108.96,109.05,1307705
7-Oct-16,109.04,109.36,108.48,108.80,1442988
6-Oct-16,108.91,109.46,108.65,109.12,1861829
5-Oct-16,108.52,109.53,108.39,109.16,3019062
4-Oct-16,109.19,109.40,108.22,108.52,1742048
3-Oct-16,109.36,109.36,108.31,109.18,1445315
