Date,Open,High,Low,Close,Volume
9-Dec-16,128.97,129.43,126.79,128.51,1054215
8-Dec-16,130.40,130.75,127.96,129.10,1421027
7-Dec-16,128.55,130.34,127.69,129.92,1260850
6-Dec-16,127.90,128.76,127.09,128.43,746528
5-Dec-16,126.95,128.34,125.92,127.50,1218951
2-Dec-16,125.32,127.59,125.00,127.06,1029145
1-Dec-16,125.87,127.08,124.64,125.50,1590690
30-Nov-16,127.15,128.08,125.63,125.65,1333210
29-Nov-16,124.66,126.71,124.45,126.13,1509822
28-Nov-16,132.18,132.18,124.44,124.59,3326282
25-Nov-16,130.00,132.10,130.00,132.07,690415
23-Nov-16,127.83,129.79,126.35,129.66,1331116
22-Nov-16,128.99,129.20,127.22,128.00,1143580
21-Nov-16,128.77,130.01,127.69,128.08,1208581
18-Nov-16,129.22,130.23,128.07,128.20,1415767
17-Nov-16,129.66,130.38,127.20,129.88,1685625
16-Nov-16,131.68,131.90,129.72,130.29,2448766
15-Nov-16,134.22,136.12,133.66,134.66,1772695
14-Nov-16,135.09,135.48,132.46,134.80,3275200
11-Nov-16,135.44,135.89,132.78,134.18,2286798
10-Nov-16,132.45,138.18,131.83,136.04,2617985
9-Nov-16,128.33,136.80,128.06,131.55,5374651
8-Nov-16,118.49,120.11,118.06,119.73,1384791
7-Nov-16,118.63,119.58,117.68,118.40,1473552
4-Nov-16,114.68,118.55,114.34,116.75,1605624
3-Nov-16,112.97,114.74,111.06,114.12,1647472
2-Nov-16,115.64,116.14,112.31,112.56,1552752
1-Nov-16,113.80,117.20,113.80,115.60,1618143
31-Oct-16,113.22,114.37,112.80,113.20,1010952
28-Oct-16,112.07,114.55,111.71,112.57,1137317
27-Oct-16,112.20,112.39,110.62,111.84,681372
26-Oct-16,111.93,112.94,110.23,112.20,1059955
25-Oct-16,112.56,112.73,110.76,110.83,686228
24-Oct-16,112.07,112.88,111.39,112.47,442656
21-Oct-16,109.18,111.69,109.01,111.53,777947
20-Oct-16,110.34,110.90,108.37,110.14,727024
19-Oct-16,112.11,112.11,109.19,110.43,945875
18-Oct-16,114.06,114.27,111.55,111.62,930997
17-Oct-16,110.10,113.28,109.60,112.59,1841307
14-Oct-16,109.66,110.22,109.27,109.77,1082327
13-Oct-16,105.98,108.88,105.71,108.77,989543
12-Oct-16,106.72,107.59,106.00,107.41,1130592
11-Oct-16,106.98,107.56,106.02,106.71,1017998
10-Oct-16,107.72,108.76,107.10,107.23,1180563
7-Oct-16,111.01,111.24,106.14,106.47,2746341
6-Oct-16,109.31,111.60,108.96,111.28,1420503
5-Oct-16,111.57,111.94,108.90,109.35,1447798
4-Oct-16,110.84,111.11,109.35,110.84,1387376
3-Oct-16,113.32,113.62,109.71,110.70,1491684
30-Sep-16,115.05,115.45,113.63,113.73,1647083
29-Sep-16,113.58,116.21,111.95,114.89,2406347
28-Sep-16,115.11,119.32,114.29,115.56,1938263
27-Sep-16,113.62,114.69,112.83,114.12,1624334
26-Sep-16,111.23,114.66,110.67,113.44,1641452
23-Sep-16,112.48,112.99,111.53,112.05,1054927
22-Sep-16,111.35,113.01,110.94,112.86,1561251
21-Sep-16,107.90,110.29,106.82,109.96,1196955
