Date,Open,High,Low,Close,Volume
9-Dec-16,62.75,63.90,62.31,62.46,2130767
8-Dec-16,61.98,62.85,61.75,62.61,2103459
7-Dec-16,60.21,62.23,60.19,62.20,2589929
6-Dec-16,59.84,60.30,59.47,60.01,1395117
5-Dec-16,59.37,59.85,58.75,59.71,1676938
2-Dec-16,58.82,60.35,58.57,59.36,2455074
1-Dec-16,59.86,59.92,57.97,58.38,2401061
30-Nov-16,60.43,60.73,59.59,60.42,4407531
29-Nov-16,60.61,61.67,60.36,61.07,1940484
28-Nov-16,60.15,60.89,59.96,60.40,2114836
25-Nov-16,60.19,60.78,60.04,60.24,826974
23-Nov-16,60.28,60.28,59.18,59.95,1687427
22-Nov-16,59.62,60.66,59.35,60.56,1907002
21-Nov-16,59.90,60.28,59.18,59.34,2150646
18-Nov-16,59.81,60.27,59.31,59.90,2096384
17-Nov-16,60.66,61.10,59.20,59.57,1967595
16-Nov-16,60.83,61.37,60.40,60.58,2218822
15-Nov-16,61.29,62.08,60.28,60.79,2495391
14-Nov-16,58.56,61.37,57.95,61.03,4141011
11-Nov-16,58.32,59.60,58.01,58.75,2989426
10-Nov-16,60.38,60.38,56.20,57.86,6090077
9-Nov-16,61.86,62.00,59.00,60.52,4019572
8-Nov-16,62.50,63.32,61.33,63.09,3743446
7-Nov-16,64.08,64.40,63.27,64.33,2166911
4-Nov-16,62.08,63.66,61.66,63.42,3072220
3-Nov-16,63.24,63.24,61.54,61.84,2655904
2-Nov-16,65.11,65.11,63.23,63.24,3593420
1-Nov-16,67.58,67.58,64.93,65.14,3023887
31-Oct-16,67.05,67.97,66.66,67.75,1800686
28-Oct-16,66.92,67.58,66.46,66.80,1215554
27-Oct-16,67.78,68.01,65.95,66.40,1699762
26-Oct-16,68.36,68.52,67.37,68.02,1313226
25-Oct-16,68.84,68.99,68.30,68.80,1145196
24-Oct-16,68.70,69.38,68.06,68.86,1029231
21-Oct-16,68.30,68.59,68.00,68.36,920506
20-Oct-16,68.98,68.98,68.28,68.69,1161550
19-Oct-16,67.68,68.10,67.39,67.95,1200689
18-Oct-16,67.40,67.99,67.18,67.66,1369849
17-Oct-16,66.98,67.48,66.71,66.88,1331478
14-Oct-16,66.45,67.32,65.80,66.71,1652006
13-Oct-16,66.13,67.42,66.01,66.72,3147604
12-Oct-16,66.40,66.81,66.31,66.50,2589453
11-Oct-16,66.65,67.15,66.12,66.31,1590055
10-Oct-16,66.97,67.57,66.64,66.76,1349096
7-Oct-16,67.45,68.36,66.82,66.95,1910441
6-Oct-16,67.43,68.05,66.36,66.99,2117926
5-Oct-16,68.43,68.77,66.85,67.43,3169929
4-Oct-16,69.16,69.16,67.55,68.14,2449154
3-Oct-16,70.17,70.40,68.89,69.19,2157851
30-Sep-16,72.41,72.98,70.59,70.63,2539974
29-Sep-16,72.41,72.61,71.29,71.91,1962820
28-Sep-16,72.25,73.03,71.87,72.93,1943255
27-Sep-16,73.10,73.23,71.86,71.96,2736018
26-Sep-16,71.97,73.20,71.80,72.86,2264755
23-Sep-16,71.41,72.53,70.74,72.22,2726567
22-Sep-16,70.60,71.59,70.60,71.44,1863098
21-Sep-16,69.31,70.29,68.29,70.07,2337048
20-Sep-16,69.03,69.53,68.97,69.24,2312886
19-Sep-16,68.18,68.70,68.11,68.63,1718353
16-Sep-16,67.64,68.12,67.06,68.04,6189641
15-Sep-16,67.45,68.17,67.14,67.96,2762936
14-Sep-16,67.79,68.17,67.35,67.62,2960826
13-Sep-16,68.63,69.04,66.69,67.33,3828285
12-Sep-16,68.84,70.41,68.45,69.84,2645248
9-Sep-16,72.52,72.52,68.63,68.86,3924270
8-Sep-16,73.76,73.86,72.92,72.98,3594203
7-Sep-16,74.07,74.32,73.82,74.18,1612751
6-Sep-16,73.24,74.22,72.95,74.08,2715142
2-Sep-16,72.64,74.48,72.62,73.41,1764063
1-Sep-16,72.81,72.86,72.03,72.33,1914300
31-Aug-16,73.19,73.19,72.17,72.67,2949713
30-Aug-16,73.52,73.64,72.73,73.26,1505156
29-Aug-16,72.46,73.78,72.19,73.58,1487120
26-Aug-16,73.89,74.13,71.45,72.14,1795832
25-Aug-16,73.28,73.94,73.06,73.53,1174146
24-Aug-16,73.98,74.08,72.70,73.18,1301181
23-Aug-16,73.86,74.43,73.45,73.98,1887711
22-Aug-16,73.53,73.95,73.22,73.43,1757731
19-Aug-16,73.86,74.20,73.05,73.42,2137093
18-Aug-16,73.97,74.36,73.62,74.18,1108825
17-Aug-16,73.20,74.19,72.61,74.13,1580733
16-Aug-16,73.65,73.90,72.77,73.00,1227591
15-Aug-16,74.49,74.67,73.89,73.97,1202088
12-Aug-16,74.10,75.16,74.00,74.43,1381150
11-Aug-16,74.36,74.45,73.30,73.95,1561906
10-Aug-16,73.91,74.89,73.73,74.49,1652320
9-Aug-16,72.70,73.88,72.01,73.73,1850968
8-Aug-16,72.70,73.01,71.96,72.64,2130139
5-Aug-16,73.89,73.89,72.64,72.73,2245739
4-Aug-16,73.80,73.88,73.42,73.78,1099513
3-Aug-16,74.35,74.38,73.35,73.71,1981932
2-Aug-16,76.07,76.32,74.31,74.45,2690089
1-Aug-16,75.85,76.57,75.82,76.56,1722390
29-Jul-16,75.09,76.80,74.80,76.16,3188764
28-Jul-16,73.43,74.81,73.38,74.52,1718513
27-Jul-16,73.63,73.78,72.82,73.54,1682213
26-Jul-16,74.02,74.34,73.36,73.71,1314527
25-Jul-16,73.88,74.19,73.64,73.98,1340899
22-Jul-16,73.16,74.27,73.16,73.88,1296613
21-Jul-16,72.84,73.33,72.55,73.31,1238729
20-Jul-16,73.19,73.19,72.72,73.08,1105985
19-Jul-16,72.83,73.05,72.35,73.05,1331276
18-Jul-16,72.30,72.65,72.10,72.59,1264159
15-Jul-16,71.07,72.08,70.82,72.00,1936511
14-Jul-16,72.19,72.19,70.80,70.92,2577640
13-Jul-16,72.04,72.33,71.56,72.17,2470470
12-Jul-16,73.25,73.35,71.63,71.86,2793415
11-Jul-16,72.71,73.27,71.76,73.20,2350859
8-Jul-16,72.58,72.97,72.00,72.63,2635202
7-Jul-16,73.23,73.29,72.04,72.15,2451969
6-Jul-16,72.63,73.35,72.57,73.14,6947801
5-Jul-16,73.23,73.83,72.96,73.81,1830656
1-Jul-16,73.00,73.54,72.69,73.20,2144385
30-Jun-16,72.04,72.88,71.47,72.82,2435065
29-Jun-16,72.23,72.70,71.87,72.05,3524621
28-Jun-16,71.26,72.12,70.75,72.08,2568582
27-Jun-16,69.80,71.04,69.24,71.01,2565377
24-Jun-16,67.91,70.45,67.44,69.77,5040746
23-Jun-16,69.33,69.67,68.80,68.90,1666048
22-Jun-16,69.30,69.67,68.61,68.97,2342453
21-Jun-16,69.21,70.02,69.04,69.88,2115622
