Date,Open,High,Low,Close,Volume
9-Dec-16,172.91,174.20,170.12,173.73,923172
8-Dec-16,174.00,174.30,170.33,172.31,746017
7-Dec-16,169.11,174.77,168.94,173.80,1005621
6-Dec-16,170.49,171.19,167.62,169.40,883248
5-Dec-16,168.54,170.61,168.07,170.00,1029019
2-Dec-16,163.35,169.63,162.92,166.84,1550222
1-Dec-16,161.90,164.21,161.30,162.61,557002
30-Nov-16,163.92,164.85,161.06,162.44,578285
29-Nov-16,163.50,164.45,161.26,163.58,537637
28-Nov-16,165.00,166.11,162.36,162.63,568214
25-Nov-16,165.56,166.45,165.31,165.61,173089
23-Nov-16,163.94,165.37,162.10,165.32,630199
22-Nov-16,162.85,164.36,162.01,163.98,766657
21-Nov-16,161.28,163.04,160.92,162.81,574275
18-Nov-16,163.71,164.15,160.34,161.05,683514
17-Nov-16,162.61,164.49,161.55,163.27,875856
16-Nov-16,163.93,164.50,160.74,162.12,830478
15-Nov-16,163.93,165.54,162.57,165.27,1130600
14-Nov-16,162.90,165.56,162.05,162.93,823581
11-Nov-16,164.72,165.77,161.55,162.95,803058
10-Nov-16,161.42,165.84,160.39,165.00,1410462
9-Nov-16,156.93,161.79,154.30,160.74,1453861
8-Nov-16,154.80,158.90,154.17,157.93,1030053
7-Nov-16,155.00,156.06,154.14,154.93,726568
4-Nov-16,152.98,154.47,151.23,152.79,978290
3-Nov-16,151.78,151.78,150.29,150.99,722779
2-Nov-16,150.42,153.71,149.54,150.76,1146301
1-Nov-16,150.24,151.90,149.53,150.57,1210875
31-Oct-16,151.69,151.69,149.41,149.82,1263727
28-Oct-16,148.76,152.80,148.32,150.82,1365882
27-Oct-16,149.77,150.00,145.91,147.69,1518407
26-Oct-16,151.98,153.38,148.98,149.52,1826742
25-Oct-16,156.49,159.79,148.54,152.09,5778883
24-Oct-16,167.83,172.05,167.83,170.46,1416533
21-Oct-16,164.88,167.35,163.43,167.18,892556
20-Oct-16,165.78,167.26,164.29,166.07,700282
19-Oct-16,162.76,167.24,162.18,166.47,1039437
18-Oct-16,164.25,164.25,160.67,162.29,1106144
17-Oct-16,158.86,166.08,158.73,163.01,1448127
14-Oct-16,162.36,163.67,160.50,160.75,543090
13-Oct-16,159.36,161.40,158.63,160.78,623586
12-Oct-16,161.58,161.58,160.15,160.83,564732
11-Oct-16,161.69,161.78,159.13,161.03,961700
10-Oct-16,164.52,165.23,161.34,161.56,596754
7-Oct-16,166.55,166.96,162.62,163.49,588357
6-Oct-16,163.81,166.99,163.50,166.26,753912
5-Oct-16,162.84,165.05,162.84,164.10,575149
4-Oct-16,162.20,163.56,161.30,162.27,574524
3-Oct-16,161.84,163.61,161.06,162.07,494478
30-Sep-16,160.67,163.06,160.47,162.16,628249
29-Sep-16,161.60,163.36,159.87,160.35,588479
28-Sep-16,162.62,163.11,159.73,162.29,865714
27-Sep-16,160.92,163.48,160.85,162.81,612927
26-Sep-16,161.63,161.83,159.76,160.61,569722
23-Sep-16,163.64,163.98,161.82,162.17,635116
22-Sep-16,164.45,165.14,163.46,164.35,661233
21-Sep-16,160.48,163.16,160.31,162.69,993967
20-Sep-16,162.51,162.86,159.55,160.44,751967
19-Sep-16,163.06,165.13,161.44,161.83,949132
16-Sep-16,164.42,164.61,160.84,162.75,1342984
15-Sep-16,164.12,165.27,163.01,165.10,731199
14-Sep-16,166.52,167.60,163.87,164.33,1058614
13-Sep-16,168.25,169.35,165.88,166.72,759115
12-Sep-16,164.75,170.50,164.67,169.92,1021820
9-Sep-16,172.00,172.53,165.90,166.72,2026409
8-Sep-16,181.46,181.93,174.63,174.80,1250157
7-Sep-16,178.61,182.44,178.10,182.25,1106036
6-Sep-16,178.76,178.99,177.11,178.61,463815
2-Sep-16,178.93,179.49,177.15,177.98,430362
1-Sep-16,178.59,178.90,176.34,177.65,630387
31-Aug-16,179.03,180.01,177.50,178.64,685320
30-Aug-16,181.19,181.87,178.65,179.25,472103
29-Aug-16,181.00,182.63,181.00,181.34,490978
26-Aug-16,181.09,182.15,179.60,181.02,892454
25-Aug-16,181.29,181.85,179.54,180.58,711526
24-Aug-16,184.90,185.24,180.65,181.57,754619
23-Aug-16,185.15,187.13,184.82,186.24,666222
22-Aug-16,182.89,184.22,181.71,183.76,426183
19-Aug-16,184.01,185.05,182.06,182.87,773846
18-Aug-16,182.43,185.12,181.11,184.58,650901
17-Aug-16,183.09,183.94,180.92,182.13,901898
16-Aug-16,183.71,184.81,182.65,183.02,902489
15-Aug-16,186.37,186.62,184.20,184.86,1169838
12-Aug-16,186.06,187.16,185.01,185.97,620028
11-Aug-16,187.61,189.18,186.70,187.12,637397
10-Aug-16,189.82,189.82,186.01,186.78,752117
9-Aug-16,189.92,189.92,188.33,189.24,449744
8-Aug-16,190.65,190.65,188.67,189.56,391495
5-Aug-16,190.00,191.52,187.99,189.56,633888
4-Aug-16,188.34,189.84,187.36,189.21,631072
3-Aug-16,188.99,189.20,187.11,187.83,754769
2-Aug-16,191.67,192.42,188.98,189.38,647165
1-Aug-16,192.36,194.10,191.73,192.13,826807
29-Jul-16,192.90,193.59,191.29,192.36,962250
28-Jul-16,190.62,193.02,189.44,192.38,936514
27-Jul-16,189.23,191.69,189.14,190.62,1044821
26-Jul-16,190.20,190.58,188.08,189.98,1105716
25-Jul-16,185.92,190.37,185.06,190.26,1120542
22-Jul-16,187.00,188.27,181.77,187.61,1331823
21-Jul-16,183.74,184.63,181.85,182.72,1261735
20-Jul-16,178.83,186.00,178.38,183.67,1557686
19-Jul-16,177.73,180.94,177.73,179.35,531829
18-Jul-16,175.97,181.67,174.97,178.02,1309943
15-Jul-16,174.99,176.74,174.24,175.51,688123
14-Jul-16,175.10,176.90,174.03,174.19,596378
13-Jul-16,174.40,174.67,171.64,173.79,469969
12-Jul-16,174.75,174.83,172.47,173.72,554374
11-Jul-16,171.83,173.29,170.30,172.72,673059
8-Jul-16,169.88,172.66,168.54,171.38,721318
7-Jul-16,166.88,168.75,165.61,167.88,488031
6-Jul-16,163.42,166.60,162.70,166.42,846156
5-Jul-16,166.26,166.93,161.97,163.96,629896
1-Jul-16,167.00,169.42,166.37,167.27,717383
30-Jun-16,163.87,166.64,161.81,166.64,876231
29-Jun-16,163.05,165.74,162.20,163.89,926848
28-Jun-16,159.13,161.61,158.43,161.04,1718488
27-Jun-16,160.50,160.50,152.19,154.46,1824974
24-Jun-16,170.80,170.89,160.97,162.57,2818465
23-Jun-16,180.38,181.01,177.46,178.80,695881
22-Jun-16,177.93,179.73,177.34,178.20,480230
21-Jun-16,178.51,179.18,176.35,177.18,642687
20-Jun-16,177.36,180.42,177.36,177.73,720792
17-Jun-16,174.55,176.43,173.91,175.64,956928
16-Jun-16,175.74,175.74,172.52,174.43,923687
15-Jun-16,175.66,178.52,174.25,176.30,1047620
14-Jun-16,174.38,175.24,172.44,174.86,711660
13-Jun-16,177.16,178.02,174.83,175.01,839060
10-Jun-16,178.53,178.70,176.54,177.52,566408
9-Jun-16,180.27,180.56,177.90,179.69,559041
8-Jun-16,178.32,181.19,177.82,181.11,837990
7-Jun-16,174.61,179.35,174.31,177.93,857109
6-Jun-16,173.90,175.95,172.75,174.83,499315
3-Jun-16,173.76,174.74,172.20,173.81,608430
2-Jun-16,175.22,175.80,173.25,175.03,526385
1-Jun-16,173.36,175.39,172.29,175.23,500159
31-May-16,174.81,174.94,173.18,174.62,772632
27-May-16,172.28,175.39,172.28,174.61,503829
26-May-16,173.86,175.21,171.56,172.25,628206
25-May-16,174.56,176.46,173.59,174.39,691913
24-May-16,167.98,175.17,167.98,174.25,1545651
23-May-16,167.98,169.03,166.61,166.87,538400
20-May-16,168.54,169.27,166.54,168.10,888890
19-May-16,165.98,167.88,164.59,167.67,819790
18-May-16,168.23,170.05,166.03,166.98,785607
17-May-16,167.14,171.28,166.66,169.75,1172853
16-May-16,168.56,168.86,165.06,167.58,1760791
13-May-16,171.69,172.89,168.32,168.72,789072
12-May-16,172.56,174.17,169.33,171.54,796889
11-May-16,176.23,176.84,172.01,172.37,745073
10-May-16,176.36,178.32,175.25,177.28,726823
9-May-16,176.50,177.42,174.01,175.09,732799
6-May-16,175.07,177.47,174.82,176.70,564516
5-May-16,175.31,177.63,175.06,176.29,729539
4-May-16,175.44,178.06,174.01,175.18,960658
3-May-16,175.13,178.21,174.09,176.89,991513
2-May-16,175.00,178.03,174.41,176.81,920169
29-Apr-16,174.78,175.28,173.08,174.14,883151
28-Apr-16,176.81,178.64,174.09,174.78,852252
27-Apr-16,180.17,182.00,175.86,178.25,1311033
26-Apr-16,174.80,179.64,171.20,179.43,3337388
25-Apr-16,187.32,188.50,185.12,186.04,1002190
22-Apr-16,187.45,188.01,186.28,187.31,878948
21-Apr-16,188.87,189.67,187.21,187.45,612925
20-Apr-16,190.46,192.04,188.06,188.46,1031747
19-Apr-16,192.27,193.59,187.05,190.15,1121557
18-Apr-16,186.60,190.68,186.51,190.00,896375
15-Apr-16,186.36,187.46,184.97,186.40,793906
14-Apr-16,187.46,187.58,183.61,186.13,858420
13-Apr-16,185.95,187.70,185.31,187.33,677465
12-Apr-16,183.71,185.99,182.59,185.17,503719
11-Apr-16,182.24,185.56,181.82,183.52,700173
8-Apr-16,182.24,183.57,181.26,182.59,600024
7-Apr-16,181.51,182.51,178.50,180.44,900396
6-Apr-16,181.66,183.41,180.83,182.35,682660
5-Apr-16,181.80,184.16,180.03,181.16,858299
4-Apr-16,183.94,184.69,182.07,182.98,1010625
1-Apr-16,180.12,183.74,179.20,183.31,1567663
31-Mar-16,177.00,180.59,176.57,180.34,1197209
30-Mar-16,178.60,178.88,176.70,177.35,961489
29-Mar-16,176.51,177.80,173.76,177.29,875390
28-Mar-16,175.63,178.07,175.51,176.99,578427
24-Mar-16,174.00,175.22,172.22,175.09,809592
23-Mar-16,176.70,177.05,174.83,175.01,672918
22-Mar-16,177.19,178.16,175.30,177.17,734139
21-Mar-16,178.22,179.54,176.30,177.46,739910
18-Mar-16,177.18,179.65,176.70,177.93,1640481
17-Mar-16,173.84,177.99,173.06,176.65,1053012
16-Mar-16,167.05,175.00,166.04,174.22,1386997
15-Mar-16,166.45,170.55,165.31,168.84,1545553
14-Mar-16,163.65,167.70,163.00,166.04,963839
11-Mar-16,160.38,165.84,160.24,164.70,1373727
10-Mar-16,159.57,160.80,156.62,158.33,879440
9-Mar-16,158.65,159.78,156.93,158.58,717999
8-Mar-16,158.49,159.78,155.90,158.55,944932
7-Mar-16,160.50,161.44,158.51,159.15,1048040
4-Mar-16,158.68,162.18,157.22,161.16,1106743
3-Mar-16,158.97,159.04,155.80,158.05,1013116
2-Mar-16,157.30,159.00,157.03,158.82,748884
1-Mar-16,156.49,158.06,155.32,157.52,685108
29-Feb-16,154.51,157.79,153.88,155.32,1152763
26-Feb-16,152.12,155.75,151.88,154.55,924392
25-Feb-16,151.92,152.62,148.92,151.87,1123790
24-Feb-16,148.22,151.62,146.20,151.28,1129169
