Date,Open,High,Low,Close,Volume
9-Dec-16,31.24,31.28,30.06,30.20,8616591
8-Dec-16,31.54,31.62,30.28,31.14,8274370
7-Dec-16,31.17,31.74,30.62,31.60,7348592
6-Dec-16,31.09,31.53,30.72,31.39,4463329
5-Dec-16,31.12,31.66,30.88,31.41,8336020
2-Dec-16,30.04,30.91,29.86,30.83,6815076
1-Dec-16,31.24,31.32,29.86,30.02,6998574
30-Nov-16,29.82,31.06,29.82,30.70,13158270
29-Nov-16,28.74,29.19,28.22,28.93,8627454
28-Nov-16,30.26,30.26,29.20,29.24,6203453
25-Nov-16,30.49,30.60,29.96,30.09,3218007
23-Nov-16,30.42,30.96,30.32,30.62,5890568
22-Nov-16,30.71,30.91,30.30,30.65,6245694
21-Nov-16,30.59,30.90,29.91,30.52,13312025
18-Nov-16,30.21,30.50,30.08,30.15,6955952
17-Nov-16,30.76,30.97,30.03,30.18,5713520
16-Nov-16,30.77,30.91,30.02,30.29,6026124
15-Nov-16,30.59,31.20,30.45,30.97,8040682
14-Nov-16,30.05,30.67,29.61,30.14,8376006
11-Nov-16,30.33,30.41,29.13,30.10,4936937
10-Nov-16,30.68,31.18,30.35,30.64,8756537
9-Nov-16,30.05,31.85,29.97,30.72,11014911
8-Nov-16,29.01,29.95,28.98,29.84,3309209
7-Nov-16,29.04,29.51,29.01,29.25,3908311
4-Nov-16,28.39,29.38,28.26,28.60,3625219
3-Nov-16,28.27,28.83,28.26,28.45,4137269
2-Nov-16,28.22,28.48,27.35,28.11,6742268
1-Nov-16,29.63,29.74,27.81,28.57,7881967
31-Oct-16,29.48,30.37,28.56,29.20,8394553
28-Oct-16,29.40,29.90,28.91,29.67,7246958
27-Oct-16,29.71,30.04,29.25,29.36,5161852
26-Oct-16,28.83,29.59,28.72,29.56,3523358
25-Oct-16,29.95,30.21,29.13,29.17,5431181
24-Oct-16,30.23,30.25,29.58,30.05,4377815
21-Oct-16,29.90,30.47,29.79,30.23,6061998
20-Oct-16,29.93,30.33,29.58,30.18,7060017
19-Oct-16,29.44,30.54,29.24,30.05,9651061
18-Oct-16,29.47,29.56,28.89,29.24,4194423
17-Oct-16,29.15,29.20,28.87,29.07,5038661
14-Oct-16,29.53,29.72,29.07,29.13,6552828
13-Oct-16,29.77,30.24,28.90,29.20,11575691
12-Oct-16,30.39,30.39,29.57,29.89,5578109
11-Oct-16,30.42,30.45,29.71,30.30,5611081
10-Oct-16,30.73,30.76,30.42,30.57,4721535
7-Oct-16,30.58,30.73,30.31,30.38,4270504
6-Oct-16,30.59,30.83,30.19,30.51,5901608
5-Oct-16,30.58,30.90,30.45,30.53,5005711
4-Oct-16,30.72,30.81,29.94,30.21,4527690
3-Oct-16,30.81,30.93,30.41,30.63,4293904
30-Sep-16,30.79,30.97,30.39,30.73,6703484
29-Sep-16,30.85,30.88,30.05,30.39,10114821
28-Sep-16,30.83,31.07,30.02,31.00,9112530
27-Sep-16,30.04,30.71,29.83,30.65,6915139
26-Sep-16,30.62,31.04,30.23,30.36,6612294
23-Sep-16,30.52,31.00,30.16,30.34,4607352
22-Sep-16,31.27,31.30,30.52,30.66,4939759
21-Sep-16,30.25,31.11,30.24,30.99,8335348
20-Sep-16,29.88,30.15,29.72,29.75,5819948
19-Sep-16,30.17,30.51,29.89,30.00,5223430
16-Sep-16,29.33,30.00,29.30,29.76,13203018
15-Sep-16,29.93,30.28,29.72,29.84,5393607
14-Sep-16,29.54,30.16,29.32,29.74,9018554
13-Sep-16,29.88,30.28,29.68,29.75,8797375
12-Sep-16,29.72,30.64,29.52,30.42,8581676
9-Sep-16,29.85,30.65,29.78,30.04,14000806
8-Sep-16,30.59,31.43,30.31,31.15,13070965
7-Sep-16,29.17,30.52,29.01,30.34,13727078
6-Sep-16,28.47,29.30,28.47,29.16,12124535
2-Sep-16,28.40,28.75,28.17,28.40,5897392
1-Sep-16,27.77,28.23,27.50,28.15,12462521
31-Aug-16,27.94,28.10,27.55,27.94,8161388
30-Aug-16,28.38,28.38,27.83,28.01,6001665
29-Aug-16,27.73,28.21,27.62,28.06,6221928
26-Aug-16,28.04,28.20,27.50,27.83,6801836
25-Aug-16,28.00,28.25,27.72,27.87,6170295
24-Aug-16,28.40,28.49,27.87,28.06,10596051
23-Aug-16,27.57,28.69,27.41,28.56,13232281
22-Aug-16,27.24,27.91,26.89,27.43,11178725
19-Aug-16,27.95,28.00,27.43,27.68,13763721
18-Aug-16,26.15,29.09,26.13,28.11,22242870
17-Aug-16,26.11,26.45,25.67,26.06,5567634
16-Aug-16,26.62,26.99,26.23,26.29,7913260
15-Aug-16,26.44,26.78,26.34,26.59,6664235
12-Aug-16,26.25,26.49,25.96,26.21,7407691
11-Aug-16,25.90,26.40,25.52,26.32,11634102
10-Aug-16,25.75,25.92,25.02,25.39,8524099
9-Aug-16,25.96,26.18,25.78,25.83,11038358
8-Aug-16,25.86,26.23,25.67,25.93,11629720
5-Aug-16,25.26,25.85,24.62,25.63,14012406
4-Aug-16,25.60,25.75,24.77,24.98,15330689
3-Aug-16,24.23,26.20,23.83,25.67,26952654
2-Aug-16,23.54,24.38,23.14,23.96,36320147
1-Aug-16,23.67,23.67,22.39,22.53,13007230
29-Jul-16,22.99,24.20,22.62,23.97,9698236
28-Jul-16,23.29,23.38,22.89,23.08,7244033
27-Jul-16,23.79,24.07,23.10,23.28,8034166
26-Jul-16,23.55,23.85,23.36,23.56,6192242
25-Jul-16,24.39,24.50,23.48,23.63,10230536
22-Jul-16,24.66,24.88,24.24,24.52,6445431
21-Jul-16,25.43,25.44,24.62,24.67,16357071
20-Jul-16,24.88,25.35,24.34,25.13,12277466
19-Jul-16,24.49,25.00,24.14,24.99,13940739
