Date,Open,High,Low,Close,Volume
9-Dec-16,22.09,22.09,21.90,22.01,3246645
8-Dec-16,22.09,22.22,22.00,22.14,4634439
7-Dec-16,21.62,22.26,21.54,22.13,6818568
6-Dec-16,20.91,21.73,20.81,21.63,7928049
5-Dec-16,20.62,20.92,20.52,20.89,4785553
2-Dec-16,20.71,20.86,20.44,20.47,3776745
1-Dec-16,21.06,21.11,20.62,20.74,3316709
30-Nov-16,21.15,21.29,21.02,21.03,3653648
29-Nov-16,21.24,21.32,21.12,21.16,2167719
28-Nov-16,21.45,21.51,21.17,21.20,2830368
25-Nov-16,21.50,21.58,21.40,21.48,1341204
23-Nov-16,21.28,21.49,21.27,21.47,2374632
22-Nov-16,21.12,21.28,21.03,21.27,3242897
21-Nov-16,20.57,21.05,20.55,21.05,4162330
18-Nov-16,20.62,20.76,20.38,20.48,3404559
17-Nov-16,20.51,20.70,20.51,20.63,3055819
16-Nov-16,20.57,20.70,20.40,20.55,2989486
15-Nov-16,20.65,20.77,20.47,20.58,3444768
14-Nov-16,20.46,20.74,20.42,20.58,4906762
11-Nov-16,19.86,20.61,19.84,20.42,5746594
10-Nov-16,20.01,20.19,19.55,19.94,7608145
9-Nov-16,20.01,20.01,19.46,19.87,10282520
8-Nov-16,20.36,20.58,20.32,20.42,4279195
7-Nov-16,19.94,20.37,19.89,20.36,4416518
4-Nov-16,19.78,19.91,19.38,19.63,5626923
3-Nov-16,19.91,20.02,19.74,19.78,4616490
2-Nov-16,19.79,20.47,19.57,19.90,6396452
1-Nov-16,20.14,20.33,19.66,19.74,4887138
31-Oct-16,20.00,20.12,19.91,20.07,4565377
28-Oct-16,19.94,20.09,19.78,19.93,3391860
27-Oct-16,19.87,19.95,19.77,19.90,3172077
26-Oct-16,19.99,20.05,19.48,19.79,6546306
25-Oct-16,20.29,20.40,20.20,20.36,6663016
24-Oct-16,20.12,20.36,20.09,20.34,3554602
21-Oct-16,19.93,20.04,19.87,20.00,2965069
20-Oct-16,19.97,20.06,19.89,19.99,1865378
19-Oct-16,19.78,20.07,19.78,20.00,2676652
18-Oct-16,20.00,20.05,19.74,19.78,2803047
17-Oct-16,20.12,20.18,19.82,19.84,2667195
14-Oct-16,20.04,20.21,19.97,20.12,2953056
13-Oct-16,19.94,20.04,19.77,19.92,3630766
12-Oct-16,19.90,20.16,19.79,20.06,2281907
11-Oct-16,20.27,20.28,19.85,19.92,3325573
10-Oct-16,20.47,20.54,20.27,20.29,2088869
7-Oct-16,20.40,20.47,20.22,20.42,3577752
6-Oct-16,20.29,20.48,20.20,20.40,1681950
5-Oct-16,20.40,20.46,20.26,20.30,2985545
4-Oct-16,20.61,20.72,20.27,20.33,3239365
3-Oct-16,20.74,20.77,20.56,20.61,4410540
30-Sep-16,20.57,20.91,20.52,20.82,6330773
29-Sep-16,20.40,20.59,20.30,20.49,5407648
28-Sep-16,20.35,20.53,20.14,20.50,3747897
27-Sep-16,20.27,20.43,20.20,20.26,3758202
26-Sep-16,20.19,20.47,20.18,20.27,3256532
23-Sep-16,20.25,20.47,20.22,20.30,3147513
22-Sep-16,20.29,20.39,20.18,20.32,2788559
21-Sep-16,19.90,20.22,19.88,20.19,3202694
20-Sep-16,19.97,20.00,19.79,19.83,5134041
19-Sep-16,20.27,20.32,19.90,20.00,3860774
16-Sep-16,20.37,20.39,20.20,20.33,6295560
15-Sep-16,20.27,20.49,20.25,20.32,3766847
14-Sep-16,20.46,20.51,20.24,20.30,2794188
13-Sep-16,20.83,20.87,20.48,20.57,3508365
12-Sep-16,20.54,21.02,20.50,20.97,3930910
9-Sep-16,21.18,21.19,20.75,20.75,3737900
8-Sep-16,21.55,21.62,21.23,21.31,3671682
7-Sep-16,21.76,21.80,21.63,21.77,2676966
6-Sep-16,21.65,21.78,21.57,21.76,3781078
2-Sep-16,21.50,21.76,21.49,21.61,2233878
1-Sep-16,21.52,21.57,21.32,21.42,2894567
31-Aug-16,21.50,21.54,21.39,21.52,2482777
30-Aug-16,21.49,21.60,21.46,21.56,2274513
29-Aug-16,21.59,21.62,21.44,21.46,2600749
26-Aug-16,21.54,21.80,21.46,21.61,3818985
25-Aug-16,21.36,21.50,21.31,21.48,3016957
24-Aug-16,21.38,21.62,21.33,21.44,6521577
23-Aug-16,21.49,21.49,21.32,21.37,4177728
22-Aug-16,21.15,21.43,21.09,21.41,3507307
19-Aug-16,21.00,21.20,20.97,21.20,3075680
18-Aug-16,21.03,21.15,20.95,21.08,2527028
17-Aug-16,20.83,21.05,20.76,21.03,2920138
16-Aug-16,20.94,21.00,20.80,20.83,1827859
15-Aug-16,20.98,21.10,20.95,21.01,1725180
12-Aug-16,21.01,21.05,20.93,20.97,1661147
11-Aug-16,21.00,21.14,20.97,21.08,2712334
10-Aug-16,20.98,21.00,20.84,20.94,1951386
9-Aug-16,20.89,20.99,20.83,20.95,2463769
8-Aug-16,21.01,21.14,20.82,20.85,3618501
5-Aug-16,20.76,21.07,20.74,21.00,3134636
4-Aug-16,20.13,21.42,20.12,20.69,11395177
3-Aug-16,19.58,19.93,19.58,19.92,4709626
2-Aug-16,19.90,19.92,19.54,19.63,3454588
1-Aug-16,20.00,20.13,19.85,19.96,3795115
29-Jul-16,20.15,20.15,19.75,20.00,4512503
28-Jul-16,20.36,20.39,20.17,20.20,2191694
27-Jul-16,20.39,20.48,20.31,20.39,2817221
26-Jul-16,20.23,20.41,20.06,20.41,3670810
25-Jul-16,20.24,20.30,20.14,20.21,2673804
22-Jul-16,20.13,20.27,20.06,20.26,1958989
21-Jul-16,20.15,20.29,20.08,20.17,2601349
20-Jul-16,20.10,20.25,20.05,20.18,2322982
19-Jul-16,20.02,20.16,19.99,20.10,1832658
18-Jul-16,20.13,20.20,20.09,20.13,2116753
15-Jul-16,20.08,20.16,19.99,20.13,2529646
14-Jul-16,20.07,20.12,19.96,20.04,1926279
13-Jul-16,19.99,20.02,19.81,19.89,2562307
