Date,Open,High,Low,Close,Volume
9-Dec-16,32.78,32.97,32.53,32.72,2763786
8-Dec-16,32.90,33.07,32.72,32.78,3008733
7-Dec-16,31.93,32.95,31.83,32.93,5722050
6-Dec-16,31.75,31.89,31.43,31.85,3398984
5-Dec-16,31.30,31.74,31.23,31.72,2970612
2-Dec-16,30.78,31.19,30.76,31.05,2819721
1-Dec-16,30.83,31.14,30.58,30.61,2959121
30-Nov-16,31.12,31.16,30.68,30.83,5953651
29-Nov-16,31.22,31.40,30.82,31.16,3811074
28-Nov-16,31.91,32.06,31.12,31.22,5652400
25-Nov-16,31.88,32.27,31.85,32.00,1687457
23-Nov-16,31.93,31.99,31.43,31.81,3591673
22-Nov-16,31.73,32.18,31.55,32.13,4951548
21-Nov-16,31.28,31.68,31.22,31.64,5352763
18-Nov-16,30.05,31.19,29.97,31.13,6732326
17-Nov-16,30.22,30.36,29.90,30.05,4248937
16-Nov-16,30.30,30.51,30.06,30.14,3551554
15-Nov-16,29.97,30.31,29.88,30.30,3238839
14-Nov-16,28.84,29.76,28.75,29.71,4502141
11-Nov-16,29.15,29.44,28.62,28.70,5274555
10-Nov-16,30.02,30.02,29.16,29.17,6090924
9-Nov-16,28.82,29.82,28.70,29.69,4856491
8-Nov-16,29.28,29.47,29.16,29.38,2496160
7-Nov-16,29.14,29.29,29.06,29.29,3027619
4-Nov-16,28.71,29.10,28.60,28.65,3630059
3-Nov-16,28.88,29.14,28.58,28.64,3219399
2-Nov-16,29.35,29.43,28.80,28.80,4453042
1-Nov-16,29.94,30.00,29.10,29.36,4857361
31-Oct-16,29.98,30.13,29.76,29.93,4974101
28-Oct-16,30.48,30.97,29.83,29.99,5754617
27-Oct-16,30.40,30.49,29.99,30.46,4558427
26-Oct-16,30.60,30.64,30.23,30.26,3029599
25-Oct-16,31.14,31.50,30.93,31.15,3880111
24-Oct-16,31.61,31.64,30.88,31.12,4230563
21-Oct-16,31.16,31.48,31.02,31.29,2331783
20-Oct-16,31.83,31.85,31.39,31.50,2797832
19-Oct-16,31.87,32.09,31.69,31.91,1789820
18-Oct-16,31.98,32.06,31.65,31.70,2699176
17-Oct-16,31.47,31.79,31.47,31.61,2927544
14-Oct-16,31.36,31.52,31.10,31.38,3746479
13-Oct-16,31.10,31.44,30.88,31.20,2649621
12-Oct-16,30.83,31.44,30.69,31.34,2546005
11-Oct-16,30.96,31.17,30.52,30.76,2549301
10-Oct-16,31.12,31.48,31.01,31.06,2033887
7-Oct-16,31.21,31.57,30.73,31.00,3138419
6-Oct-16,30.51,31.37,30.42,31.10,3766352
5-Oct-16,31.19,31.38,30.58,30.64,3842345
4-Oct-16,31.78,31.79,30.87,31.03,3604038
3-Oct-16,32.00,32.03,31.66,31.80,2998616
30-Sep-16,32.17,32.37,31.86,31.94,3920242
29-Sep-16,32.34,32.46,31.82,31.86,3027613
28-Sep-16,31.98,32.59,31.93,32.39,3979006
27-Sep-16,31.69,31.91,31.47,31.73,2584197
26-Sep-16,31.96,32.20,31.62,31.64,2476152
23-Sep-16,31.62,32.32,31.61,32.18,4392893
22-Sep-16,31.19,32.15,31.11,32.08,7948288
21-Sep-16,30.04,30.40,29.73,30.34,2949011
20-Sep-16,30.45,30.51,29.96,29.96,2081258
19-Sep-16,30.11,30.31,29.93,30.13,2689709
16-Sep-16,29.94,30.15,29.79,29.91,5521352
15-Sep-16,29.81,30.30,29.66,30.14,2491885
14-Sep-16,29.95,30.11,29.72,29.83,3839029
13-Sep-16,30.67,30.73,29.88,30.00,3855851
12-Sep-16,30.15,31.12,30.05,30.97,4205431
9-Sep-16,31.40,31.40,30.29,30.31,5570330
8-Sep-16,31.63,31.92,31.59,31.79,5924458
7-Sep-16,32.21,32.21,31.58,31.79,2226255
6-Sep-16,32.54,32.54,31.76,32.17,3069281
2-Sep-16,32.10,32.24,31.73,31.85,2189553
1-Sep-16,31.82,32.02,31.47,31.87,2783878
31-Aug-16,31.79,31.92,31.56,31.85,4403271
30-Aug-16,31.66,31.90,31.56,31.84,2610411
29-Aug-16,31.40,31.72,31.24,31.64,3401505
26-Aug-16,31.64,31.97,30.93,31.10,3321186
25-Aug-16,31.08,31.65,31.08,31.54,3297000
24-Aug-16,31.50,31.52,31.03,31.14,2292411
23-Aug-16,31.48,31.78,31.38,31.54,2975322
22-Aug-16,31.12,31.23,30.79,31.22,2370394
19-Aug-16,31.25,31.29,30.88,31.18,3688461
18-Aug-16,31.73,31.75,31.19,31.41,2986360
17-Aug-16,31.54,31.71,31.42,31.68,3101978
16-Aug-16,31.86,31.99,31.50,31.50,2968232
15-Aug-16,31.91,32.16,31.87,31.90,2538956
12-Aug-16,32.14,32.19,31.66,31.86,3875027
11-Aug-16,32.87,32.91,32.40,32.47,2903220
10-Aug-16,32.33,32.74,32.33,32.72,2565220
9-Aug-16,32.33,32.52,32.25,32.33,2221152
8-Aug-16,32.74,33.00,32.36,32.37,3272528
5-Aug-16,32.50,33.17,32.13,32.88,4317423
4-Aug-16,32.33,32.73,32.17,32.65,3288339
3-Aug-16,32.35,32.56,31.88,32.37,3177426
2-Aug-16,32.74,32.83,32.36,32.44,3335000
1-Aug-16,32.72,32.77,32.58,32.75,2813656
29-Jul-16,32.24,32.76,32.24,32.72,4072486
28-Jul-16,32.45,32.59,32.12,32.37,5266252
27-Jul-16,32.98,33.06,32.47,32.58,3782680
26-Jul-16,32.50,32.92,32.42,32.91,3779356
25-Jul-16,32.35,32.60,32.30,32.49,3615778
22-Jul-16,32.32,32.50,32.17,32.43,2396711
21-Jul-16,32.30,32.48,32.20,32.29,2508482
20-Jul-16,32.05,32.35,31.90,32.30,3105971
19-Jul-16,32.04,32.22,31.90,31.98,2839287
18-Jul-16,31.98,32.30,31.96,32.24,2910251
15-Jul-16,32.08,32.25,31.98,32.03,3843735
14-Jul-16,32.14,32.26,31.96,32.04,3646063
13-Jul-16,31.94,32.09,31.69,31.97,3668942
12-Jul-16,31.50,32.10,31.42,31.85,5937029
11-Jul-16,30.73,31.38,30.66,31.24,7476179
8-Jul-16,30.41,30.89,30.34,30.67,5302717
7-Jul-16,30.09,30.43,29.99,30.14,4601497
6-Jul-16,29.52,30.14,29.52,30.12,4701530
5-Jul-16,29.89,30.06,29.54,29.70,12197614
1-Jul-16,29.65,30.19,29.65,30.12,4555305
30-Jun-16,29.32,30.02,29.26,29.77,12056729
29-Jun-16,28.51,29.40,28.51,29.23,7549133
28-Jun-16,27.10,27.88,26.97,27.88,8608025
27-Jun-16,27.48,27.52,26.55,26.77,9934470
24-Jun-16,28.77,28.94,27.72,27.73,13021573
23-Jun-16,28.92,29.52,28.74,29.52,6694537
22-Jun-16,28.67,28.88,28.30,28.62,7174331
21-Jun-16,29.16,29.25,28.54,28.58,5776275
20-Jun-16,29.12,29.25,28.87,29.02,5637721
17-Jun-16,28.69,28.86,28.50,28.69,7402414
16-Jun-16,28.54,28.75,28.08,28.72,4949198
15-Jun-16,28.76,29.01,28.58,28.70,4852508
14-Jun-16,29.69,29.70,28.58,28.75,9539474
