Date,Open,High,Low,Close,Volume
9-Dec-16,39.25,39.88,39.20,39.85,2717659
8-Dec-16,39.05,39.40,38.83,39.25,2994151
7-Dec-16,38.87,39.38,38.79,39.35,3076294
6-Dec-16,38.93,39.02,38.68,38.77,2103925
5-Dec-16,38.57,38.81,38.22,38.79,1846041
2-Dec-16,38.55,39.04,38.50,38.74,2692549
1-Dec-16,38.79,38.81,38.24,38.54,2285465
30-Nov-16,39.98,39.98,39.01,39.01,3443414
29-Nov-16,40.19,40.80,40.16,40.49,2601435
28-Nov-16,39.65,40.39,39.64,40.32,2311631
25-Nov-16,38.95,39.61,38.95,39.52,1282777
23-Nov-16,38.87,39.32,38.70,38.77,2759558
22-Nov-16,39.35,39.59,39.08,39.29,3967158
21-Nov-16,38.93,39.36,38.88,39.34,2453541
18-Nov-16,38.96,39.20,38.68,38.87,2279538
17-Nov-16,38.85,39.21,38.74,39.00,2358529
16-Nov-16,39.24,39.51,38.75,39.01,2037132
15-Nov-16,38.69,39.46,38.69,39.25,3435998
14-Nov-16,38.56,38.66,38.20,38.51,5151391
11-Nov-16,38.64,39.36,38.64,38.84,3143301
10-Nov-16,39.42,39.42,38.00,38.68,8051142
9-Nov-16,40.93,40.93,39.50,39.58,6679403
8-Nov-16,41.22,41.75,41.21,41.52,2555274
7-Nov-16,40.59,41.16,40.13,41.15,1938904
4-Nov-16,40.78,41.14,40.34,40.36,2344706
3-Nov-16,40.35,40.79,40.22,40.62,2299904
2-Nov-16,40.71,40.75,40.12,40.46,4097178
1-Nov-16,41.57,41.60,40.72,40.86,2680120
31-Oct-16,40.81,41.80,40.77,41.55,2874216
28-Oct-16,40.51,40.81,40.36,40.68,2775516
27-Oct-16,40.33,40.71,40.14,40.44,2414835
26-Oct-16,40.44,40.71,40.22,40.60,2583730
25-Oct-16,40.08,40.52,40.03,40.48,2790677
24-Oct-16,40.14,40.28,39.87,40.20,1740189
21-Oct-16,40.19,40.29,39.75,39.95,2367796
20-Oct-16,40.39,40.65,40.20,40.39,2771403
19-Oct-16,40.54,40.55,40.13,40.32,2500757
18-Oct-16,40.60,40.83,40.05,40.54,2721311
17-Oct-16,40.25,40.46,40.14,40.34,2808971
14-Oct-16,40.14,40.52,40.00,40.05,2539331
13-Oct-16,39.76,40.62,39.72,40.34,4197320
12-Oct-16,39.50,39.91,39.50,39.72,3236225
11-Oct-16,39.82,39.89,39.32,39.45,3964968
10-Oct-16,39.68,39.91,39.56,39.89,1952505
7-Oct-16,39.82,40.26,39.49,39.61,4627973
6-Oct-16,39.30,39.72,39.08,39.62,3740686
5-Oct-16,39.74,40.22,39.39,39.51,3977673
4-Oct-16,40.57,40.57,39.31,39.59,4653044
3-Oct-16,41.05,41.14,40.30,40.58,3110741
30-Sep-16,41.98,42.14,40.92,41.14,4039061
29-Sep-16,42.08,42.14,41.47,41.81,4214844
28-Sep-16,42.48,42.50,41.86,42.25,2453675
27-Sep-16,43.21,43.49,42.28,42.37,3301714
26-Sep-16,43.01,43.23,42.85,43.10,4269519
23-Sep-16,42.78,43.24,42.61,43.07,4346625
22-Sep-16,42.75,42.94,42.51,42.90,2822121
21-Sep-16,41.53,42.61,41.52,42.55,3526070
20-Sep-16,41.84,41.97,41.50,41.52,3090371
19-Sep-16,41.39,41.78,41.23,41.68,3765999
16-Sep-16,40.67,41.25,40.57,41.20,3577796
15-Sep-16,40.63,40.95,40.56,40.86,2943758
14-Sep-16,40.74,41.16,40.56,40.76,2606493
13-Sep-16,41.20,41.20,40.34,40.60,3460040
12-Sep-16,40.80,41.52,40.80,41.42,3603526
9-Sep-16,42.02,42.02,40.76,40.78,4166600
8-Sep-16,42.27,42.61,42.14,42.37,2908225
7-Sep-16,42.19,42.46,41.84,42.38,3510288
6-Sep-16,41.99,42.32,41.77,42.20,2576641
2-Sep-16,41.32,41.83,41.21,41.71,2549577
1-Sep-16,41.33,41.47,41.11,41.27,2721379
31-Aug-16,41.24,41.38,41.07,41.36,2706936
30-Aug-16,41.69,41.91,41.16,41.19,2684441
29-Aug-16,41.52,41.86,41.52,41.70,2026116
26-Aug-16,42.27,42.54,41.33,41.39,2924662
25-Aug-16,42.25,42.47,42.09,42.28,1808018
24-Aug-16,42.11,42.26,41.80,42.20,2079729
23-Aug-16,42.72,42.88,42.17,42.19,2587560
22-Aug-16,42.54,42.76,42.44,42.58,1812561
19-Aug-16,42.76,42.89,42.18,42.42,2610764
18-Aug-16,42.24,42.97,42.24,42.96,3466162
17-Aug-16,41.55,42.44,41.29,42.33,5176596
16-Aug-16,42.02,42.04,41.58,41.64,3580696
15-Aug-16,42.86,42.94,42.09,42.12,2156160
12-Aug-16,42.76,43.08,42.76,42.80,1907294
11-Aug-16,42.69,42.79,42.52,42.71,2961259
10-Aug-16,42.74,42.84,42.56,42.69,1531939
9-Aug-16,42.57,42.85,42.44,42.65,2920849
8-Aug-16,42.77,43.02,42.43,42.57,2566908
5-Aug-16,43.21,43.22,42.56,42.67,3237964
4-Aug-16,43.16,43.67,43.16,43.31,2909989
3-Aug-16,43.52,43.72,42.99,43.16,3286674
2-Aug-16,43.87,43.90,43.46,43.72,3651722
1-Aug-16,43.85,44.12,43.78,43.94,3177785
29-Jul-16,43.74,44.16,43.74,43.98,2878767
28-Jul-16,43.50,43.87,43.36,43.76,2179848
27-Jul-16,43.66,43.80,43.10,43.50,2855475
26-Jul-16,44.36,44.36,43.60,43.79,2785189
25-Jul-16,44.33,44.38,44.03,44.24,1873345
22-Jul-16,43.84,44.41,43.72,44.32,3188523
21-Jul-16,43.47,43.92,43.33,43.88,3168748
20-Jul-16,43.83,43.91,43.49,43.61,2532116
19-Jul-16,43.86,43.94,43.64,43.79,2378104
18-Jul-16,43.75,44.06,43.70,43.85,2836503
15-Jul-16,43.67,43.97,43.54,43.75,3380609
14-Jul-16,43.62,43.84,43.44,43.61,3825393
13-Jul-16,43.73,44.08,43.69,43.95,3601622
12-Jul-16,44.16,44.24,43.49,43.50,4200933
11-Jul-16,44.45,44.47,43.92,44.41,3224942
8-Jul-16,44.24,44.61,43.68,44.59,4825907
7-Jul-16,45.16,45.23,44.22,44.32,4183846
6-Jul-16,45.17,45.42,44.90,45.33,3545121
5-Jul-16,44.78,45.32,44.78,45.27,3443832
1-Jul-16,45.00,45.03,44.26,44.78,2224978
30-Jun-16,43.93,44.78,43.78,44.78,3544769
29-Jun-16,43.97,44.11,43.62,43.85,2583720
28-Jun-16,43.68,43.82,43.12,43.75,2744750
27-Jun-16,43.20,43.89,43.12,43.72,5578895
24-Jun-16,42.34,43.67,42.25,43.30,7305992
23-Jun-16,42.71,42.75,42.44,42.70,2629631
22-Jun-16,42.91,42.98,42.63,42.67,2360981
21-Jun-16,42.73,43.11,42.55,42.84,2302112
20-Jun-16,42.88,42.95,42.27,42.75,3008956
17-Jun-16,42.79,42.95,42.38,42.85,3972622
16-Jun-16,42.56,42.96,42.38,42.83,4006575
15-Jun-16,42.80,42.89,42.17,42.34,3083906
14-Jun-16,42.42,42.80,42.11,42.79,3141384
13-Jun-16,42.85,42.98,42.60,42.71,3137457
10-Jun-16,42.69,42.90,42.57,42.75,2901010
9-Jun-16,42.17,42.75,42.17,42.70,3039348
8-Jun-16,41.96,42.19,41.84,42.17,2247632
7-Jun-16,42.08,42.29,41.91,42.01,2169386
6-Jun-16,42.18,42.38,41.81,42.05,2238913
3-Jun-16,41.75,42.40,41.75,42.19,2656754
2-Jun-16,41.42,41.49,40.98,41.40,2222718
1-Jun-16,41.32,41.57,41.25,41.56,2542326
31-May-16,40.91,41.41,40.75,41.37,4784379
27-May-16,40.96,41.07,40.69,40.92,2136350
26-May-16,40.41,40.94,40.33,40.89,2465550
25-May-16,40.45,40.54,40.17,40.37,2779376
24-May-16,40.10,40.61,40.06,40.56,2358249
23-May-16,40.56,40.63,40.04,40.06,2247647
20-May-16,40.68,40.71,40.18,40.47,2967194
19-May-16,39.95,40.52,39.69,40.51,2545738
18-May-16,40.61,41.03,39.94,40.09,3692819
17-May-16,41.61,41.70,40.64,40.86,3252254
16-May-16,41.59,41.75,41.38,41.75,2723151
13-May-16,41.81,41.86,41.38,41.71,2583303
12-May-16,41.36,41.98,41.19,41.85,3815091
11-May-16,41.44,41.58,41.10,41.38,2391510
10-May-16,41.31,41.56,41.02,41.36,3160188
9-May-16,40.50,41.31,40.48,41.16,4033529
6-May-16,40.83,40.83,40.17,40.46,3652432
5-May-16,40.90,41.30,40.64,40.84,3005216
4-May-16,40.45,41.27,40.45,41.01,3371919
3-May-16,40.39,40.73,40.30,40.55,2495598
2-May-16,40.24,40.74,40.11,40.51,2990523
29-Apr-16,39.67,40.10,39.35,40.03,3612680
28-Apr-16,39.36,39.95,39.16,39.94,3158412
27-Apr-16,39.31,39.98,39.22,39.71,4415532
26-Apr-16,39.20,39.36,39.06,39.19,3357378
25-Apr-16,38.95,39.19,38.81,39.15,3237178
22-Apr-16,38.80,39.09,38.77,39.05,5038916
21-Apr-16,39.69,39.72,38.43,38.61,8397663
20-Apr-16,41.39,41.41,39.72,39.73,4988727
19-Apr-16,41.21,41.27,40.82,41.16,2767842
18-Apr-16,40.84,41.14,40.60,41.14,2090637
