Date,Open,High,Low,Close,Volume
9-Dec-16,55.74,56.25,55.16,55.91,2256082
8-Dec-16,55.32,56.12,55.28,55.64,2788515
7-Dec-16,54.50,55.40,54.41,55.30,3363008
6-Dec-16,54.34,54.62,54.01,54.54,2244931
5-Dec-16,54.50,54.67,53.66,54.37,6458320
2-Dec-16,53.26,54.28,53.09,54.22,3328962
1-Dec-16,54.11,54.75,52.54,53.39,5908216
30-Nov-16,54.10,54.74,53.69,53.98,4360487
29-Nov-16,53.33,54.12,53.04,54.01,4413786
28-Nov-16,53.26,53.57,53.13,53.29,2628872
25-Nov-16,53.19,53.59,53.12,53.39,787528
23-Nov-16,53.34,53.43,52.91,53.12,2652712
22-Nov-16,53.39,53.65,53.20,53.35,2043567
21-Nov-16,53.02,53.49,52.73,53.13,2447480
18-Nov-16,53.20,53.23,52.91,52.98,1818056
17-Nov-16,53.33,53.59,53.03,53.24,2525445
16-Nov-16,53.85,54.29,53.54,53.55,2481890
15-Nov-16,53.10,54.00,53.02,53.93,2281678
14-Nov-16,51.90,53.18,51.67,52.83,3228699
11-Nov-16,50.84,51.83,50.78,51.64,3310615
10-Nov-16,51.99,52.22,50.26,50.88,4739250
9-Nov-16,50.27,52.03,50.00,51.85,2412705
8-Nov-16,51.35,52.10,51.18,51.70,2423536
7-Nov-16,50.67,51.35,50.49,51.26,2683998
4-Nov-16,50.03,50.57,49.78,49.83,2454683
3-Nov-16,50.12,50.99,50.12,50.69,2322053
2-Nov-16,50.92,51.00,50.11,50.12,2460895
1-Nov-16,51.03,51.20,50.28,50.90,4210116
31-Oct-16,50.48,50.98,50.47,50.87,2491717
28-Oct-16,50.34,51.09,50.23,50.26,2084870
27-Oct-16,50.62,50.92,50.24,50.32,2851482
26-Oct-16,50.14,50.61,50.02,50.29,1955021
25-Oct-16,50.28,50.67,50.20,50.31,2538769
24-Oct-16,50.11,50.39,49.90,50.33,2004356
21-Oct-16,49.74,49.82,48.97,49.78,2853906
20-Oct-16,49.61,50.45,49.31,50.09,3320598
19-Oct-16,49.90,50.12,49.40,49.61,2618624
18-Oct-16,50.13,50.46,49.82,50.13,2485952
17-Oct-16,49.91,50.18,49.53,49.70,1901515
14-Oct-16,50.23,50.38,49.88,49.99,1874595
13-Oct-16,49.50,50.03,49.15,49.90,3651072
12-Oct-16,49.63,50.32,48.75,50.08,4177788
11-Oct-16,52.18,52.18,50.79,50.99,3528361
10-Oct-16,52.99,53.28,51.97,52.21,2576205
7-Oct-16,53.50,53.50,52.88,52.89,2568603
6-Oct-16,53.30,53.59,52.91,53.43,1556113
5-Oct-16,53.33,53.61,53.07,53.41,1914876
4-Oct-16,53.85,53.90,52.86,53.06,2310772
3-Oct-16,54.31,54.84,53.82,53.93,2073752
30-Sep-16,53.66,55.49,53.66,54.34,5662131
29-Sep-16,53.33,54.00,52.82,53.49,2863107
28-Sep-16,53.23,53.49,52.97,53.35,1341955
27-Sep-16,52.45,53.30,51.90,53.22,1928127
26-Sep-16,52.78,52.98,52.51,52.58,1410251
23-Sep-16,53.50,53.58,53.07,53.12,1197167
22-Sep-16,53.64,53.77,53.26,53.44,1155529
21-Sep-16,53.14,53.30,52.80,53.25,2260646
20-Sep-16,53.65,53.73,52.91,52.93,1761073
19-Sep-16,53.53,53.92,53.28,53.49,1528904
16-Sep-16,53.81,53.98,53.05,53.36,2352237
15-Sep-16,52.89,53.78,52.67,53.57,2386248
14-Sep-16,52.65,53.22,52.31,53.01,1971181
13-Sep-16,52.73,52.94,52.38,52.53,1912456
12-Sep-16,51.94,53.25,51.69,53.12,2523466
9-Sep-16,52.97,53.16,51.98,52.08,4008530
8-Sep-16,53.60,53.72,53.14,53.39,3167697
7-Sep-16,54.46,54.49,53.66,53.77,1652973
6-Sep-16,54.44,54.82,54.08,54.36,1500243
2-Sep-16,54.41,54.73,54.04,54.46,2088497
1-Sep-16,54.17,54.36,53.48,54.24,2428167
31-Aug-16,54.20,54.30,53.73,54.21,3029574
30-Aug-16,54.33,54.69,54.08,54.19,2380003
29-Aug-16,54.20,54.62,54.07,54.15,2075770
26-Aug-16,54.03,54.54,53.68,54.18,1707400
25-Aug-16,53.91,54.10,53.80,54.09,1524933
24-Aug-16,54.00,54.20,53.80,53.98,2062601
23-Aug-16,53.85,54.13,53.75,54.03,1931604
22-Aug-16,53.19,53.77,53.16,53.66,2036449
19-Aug-16,52.93,53.33,52.93,53.14,3980118
18-Aug-16,52.38,53.02,52.32,53.01,2500354
17-Aug-16,51.76,52.30,51.61,52.19,1568886
16-Aug-16,51.85,52.03,51.31,51.74,1182212
15-Aug-16,52.02,52.43,52.00,52.04,1702605
12-Aug-16,51.83,52.18,51.67,51.84,1151938
11-Aug-16,51.50,51.90,51.49,51.83,1035346
10-Aug-16,51.94,51.94,51.57,51.65,1221271
9-Aug-16,51.41,52.28,51.41,51.99,2434101
8-Aug-16,51.95,51.96,51.49,51.57,1690269
5-Aug-16,51.59,51.77,51.53,51.77,1491436
4-Aug-16,50.87,51.44,50.69,51.43,1487303
3-Aug-16,50.54,50.89,50.05,50.84,2162142
2-Aug-16,51.01,51.12,50.45,50.76,1936357
1-Aug-16,51.00,51.42,50.92,51.20,2660179
29-Jul-16,51.19,51.48,50.89,51.08,2735018
28-Jul-16,50.00,51.44,49.76,51.09,5761425
27-Jul-16,49.89,49.89,49.35,49.84,3185049
26-Jul-16,48.65,49.83,48.52,49.70,4023071
25-Jul-16,48.39,48.62,48.16,48.45,1518851
22-Jul-16,47.87,48.36,47.53,48.35,1231038
21-Jul-16,47.99,48.25,47.62,47.79,1368772
20-Jul-16,48.12,48.34,47.77,48.08,1709517
19-Jul-16,48.14,48.35,47.84,47.98,2153250
18-Jul-16,48.47,48.58,48.05,48.37,1904451
15-Jul-16,48.04,48.06,47.69,47.90,1543397
14-Jul-16,48.00,48.00,47.62,47.84,1294225
13-Jul-16,47.64,47.77,47.47,47.62,1597662
12-Jul-16,47.32,47.63,47.12,47.48,1703701
11-Jul-16,46.97,47.42,46.75,47.22,1233377
8-Jul-16,46.13,47.00,45.90,46.97,1770474
7-Jul-16,45.47,46.08,45.47,45.71,1471554
6-Jul-16,45.35,45.54,44.95,45.48,1738568
5-Jul-16,45.89,46.00,45.37,45.57,1730243
1-Jul-16,45.87,46.26,45.61,46.19,1482004
30-Jun-16,45.49,46.18,45.29,46.13,1593119
29-Jun-16,45.00,45.80,44.77,45.47,2492867
28-Jun-16,44.23,44.87,44.00,44.75,1730389
27-Jun-16,44.82,45.21,43.50,43.84,3007594
24-Jun-16,45.71,46.40,45.27,45.31,3328251
23-Jun-16,46.90,47.45,46.70,47.44,1522413
